Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99508265/salvage-2003-honda-accord-lx-ga-fairburn,99508265,"2,521 USD",03/16/2026 06:00 pm GMT+4,2003,HOND,ACCORD,2.4L  4,4,1HGCM56353A094912,CERT OF TITLE-SALVAGE TITLE,0 E,EXEMPT,ALL OVER,0 USD,0 USD,0,GA - FAIRBURN,0,N/A,N/A
https://www.copart.com/lot/99467405/clean-title-2009-bentley-continental-flying-spur-ga-fairburn,99467405,"37,455 USD",03/16/2026 06:00 pm GMT+4,2009,BENT,CONTINENTAL,6.0L 12,12,SCBBP93WX9C061704,CERTIFICATE OF TITLE,0 E,EXEMPT,FRONT END,0 USD,0 USD,0,GA - FAIRBURN,0,N/A,N/A
https://www.copart.com/lot/99268255/salvage-2023-nissan-sentra-sv-ga-fairburn,99268255,"12,291 USD",03/16/2026 06:00 pm GMT+4,2023,NISS,SENTRA,2.0L  4,4,3N1AB8CV1PY270247,CERT OF TITLE-SALVAGE,"116,581 A",ACTUAL,REAR END,0 USD,0 USD,0,GA - FAIRBURN,0,N/A,N/A
https://www.copart.com/lot/99198185/salvage-2025-kia-sportage-ex-ga-fairburn,99198185,"26,131 USD",03/16/2026 06:00 pm GMT+4,2025,KIA,SPORTAGE,2.5L  4,4,5XYK33DF7SG275197,CERT OF TITLE-SALVAGE,"18,281 A",ACTUAL,ALL OVER,0 USD,0 USD,0,GA - FAIRBURN,0,N/A,N/A
https://www.copart.com/lot/99065685/salvage-2014-ford-focus-se-ga-fairburn,99065685,"4,588 USD",03/16/2026 06:00 pm GMT+4,2014,FORD,FOCUS,2.0L  4,4,1FADP3K28EL298001,CERT OF TITLE-SALVAGE,"101,859 A",ACTUAL,FRONT END,0 USD,0 USD,0,GA - FAIRBURN,0,N/A,N/A
https://www.copart.com/lot/98530905/salvage-2017-kia-soul-+-ga-fairburn,98530905,"7,583 USD",03/16/2026 06:00 pm GMT+4,2017,KIA,SOUL,2.0L  4,4,KNDJP3A5XH7410562,SALVAGE CERTIFICATE OF TITLE,"116,672 A",ACTUAL,ROLLOVER,175 USD,0 USD,0,GA - FAIRBURN,0,N/A,N/A
https://www.copart.com/lot/97889835/salvage-2011-lincoln-townhouse-mkz-ga-fairburn,97889835,"1,368 USD",03/16/2026 06:00 pm GMT+4,2011,LINC,MKZ,3.5L  6,6,3LNHL2GC7BR764366,CERT OF TITLE-SALVAGE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,GA - FAIRBURN,0,N/A,N/A
https://www.copart.com/lot/97354655/salvage-2020-volkswagen-tiguan-se-ga-fairburn,97354655,"15,385 USD",03/16/2026 06:00 pm GMT+4,2020,VOLK,TIGUAN,2.0L  4,4,3VV3B7AX8LM129618,CERT OF TITLE-SALVAGE,"92,759 A",ACTUAL,REAR END,0 USD,0 USD,0,GA - FAIRBURN,0,N/A,N/A
https://www.copart.com/lot/96845515/clean-title-2017-audi-a6-premium-plus-ga-fairburn,96845515,$1 USD,03/16/2026 06:00 pm GMT+4,2017,AUDI,A6,2.0L  4,4,WAUD8AFC4HN013282,CERTIFICATE OF TITLE,"152,677 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,GA - FAIRBURN,0,N/A,N/A
https://www.copart.com/lot/96074255/salvage-2025-nissan-kicks-sv-ga-fairburn,96074255,"20,006 USD",03/16/2026 06:00 pm GMT+4,2025,NISS,KICKS,2.0L  4,4,3N8AP6CA1SL428225,CERT OF TITLE-SALVAGE,"23,755 A",ACTUAL,FRONT END,0 USD,0 USD,0,GA - FAIRBURN,0,N/A,N/A
https://www.copart.com/lot/95893875/clean-title-2020-dodge-challenger-sxt-ga-fairburn,95893875,$1 USD,03/16/2026 06:00 pm GMT+4,2020,DODG,CHALLENGER,3.6L  6,6,2C3CDZAG8LH149035,CERTIFICATE OF TITLE,"111,317 A",ACTUAL,FRONT END,0 USD,0 USD,0,GA - FAIRBURN,0,N/A,N/A
https://www.copart.com/lot/94744935/salvage-2022-audi-sq5-premium-plus-ga-fairburn,94744935,"39,515 USD",03/16/2026 06:00 pm GMT+4,2022,AUDI,SQ5,3.0L  6,6,WA1B4BFY7N2043777,CERT OF TITLE-SALVAGE,"40,316 A",ACTUAL,MECHANICAL,0 USD,0 USD,0,GA - FAIRBURN,0,N/A,N/A
https://www.copart.com/lot/93966225/salvage-2024-toyota-corolla-le-ga-fairburn,93966225,"17,165 USD",03/16/2026 06:00 pm GMT+4,2024,TOYT,COROLLA,2.0L  4,4,5YFB4MDE1RP080258,CERT OF TITLE-SALVAGE,"34,603 A",ACTUAL,SIDE,0 USD,0 USD,0,GA - FAIRBURN,0,N/A,N/A
https://www.copart.com/lot/92864675/salvage-2023-dodge-durango-sxt-ga-fairburn,92864675,"25,403 USD",03/16/2026 06:00 pm GMT+4,2023,DODG,DURANGO,3.6L  6,6,1C4RDHAG4PC549652,CERT OF TITLE-SALVAGE,"34,391 A",ACTUAL,REAR END,0 USD,0 USD,0,GA - FAIRBURN,0,N/A,N/A
https://www.copart.com/lot/92828375/salvage-2008-chevrolet-suburban-c1500-ls-ga-fairburn,92828375,"6,249 USD",03/16/2026 06:00 pm GMT+4,2008,CHEV,SUBURBAN,5.3L  8,8,1GNFC16018R277754,CERT OF TITLE-SALVAGE,0 E,EXEMPT,FRONT END,0 USD,0 USD,0,GA - FAIRBURN,0,N/A,N/A
https://www.copart.com/lot/92321515/clean-title-2021-volkswagen-jetta-s-ga-fairburn,92321515,$1 USD,03/16/2026 06:00 pm GMT+4,2021,VOLK,JETTA,1.4L  4,4,3VWN57BU0MM038148,CERTIFICATE OF TITLE,"5,435 A",ACTUAL,FRONT END,0 USD,0 USD,0,GA - FAIRBURN,0,N/A,N/A
https://www.copart.com/lot/91768765/2017-honda-accord-lx-ga-fairburn,91768765,$1 USD,03/16/2026 06:00 pm GMT+4,2017,HOND,ACCORD,2.4L  4,4,1HGCR2F39HA095391,BILL OF SALE - PARTS ONLY,"78,494 A",ACTUAL,FRONT END,0 USD,0 USD,0,GA - FAIRBURN,0,N/A,N/A
https://www.copart.com/lot/90760285/clean-title-2023-chevrolet-malibu-ls-ga-fairburn,90760285,$1 USD,03/16/2026 06:00 pm GMT+4,2023,CHEV,MALIBU,1.5L  4,4,1G1ZC5ST5PF207468,CERTIFICATE OF TITLE,"164,185 A",ACTUAL,FRONT END,0 USD,0 USD,0,GA - FAIRBURN,0,N/A,N/A
https://www.copart.com/lot/90692325/clean-title-2017-bmw-750-i-mspt-ga-fairburn,90692325,"15,984 USD",03/16/2026 06:00 pm GMT+4,2017,BMW,750 I MSPT,4.4L  8,8,WBA7F0C57HGM21279,CERTIFICATE OF TITLE,"122,955 A",ACTUAL,MECHANICAL,0 USD,0 USD,0,GA - FAIRBURN,0,N/A,N/A
https://www.copart.com/lot/90678925/clean-title-2020-mercedes-benz-a-220-ga-fairburn,90678925,"24,342 USD",03/16/2026 06:00 pm GMT+4,2020,MERZ,A,2.0L  4,4,W1K3G4EB1LW047409,CERTIFICATE OF TITLE,"59,321 A",ACTUAL,MECHANICAL,0 USD,0 USD,0,GA - FAIRBURN,0,N/A,N/A
https://www.copart.com/lot/89677745/clean-title-2019-bmw-430i-gran-coupe-ga-fairburn,89677745,$1 USD,03/16/2026 06:00 pm GMT+4,2019,BMW,430I,2.0L  4,4,WBA4J1C59KBM17326,CERTIFICATE OF TITLE,"129,323 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,GA - FAIRBURN,0,N/A,N/A
https://www.copart.com/lot/89664955/salvage-2005-honda-civic-lx-ga-fairburn,89664955,"2,324 USD",03/16/2026 06:00 pm GMT+4,2005,HOND,CIVIC,1.7L  4,4,2HGES16575H588007,CERT OF TITLE-SALVAGE,"232,096 E",EXEMPT,REAR END,0 USD,0 USD,0,GA - FAIRBURN,0,N/A,N/A
https://www.copart.com/lot/87491005/clean-title-2023-chevrolet-malibu-ls-ga-fairburn,87491005,$1 USD,03/16/2026 06:00 pm GMT+4,2023,CHEV,MALIBU,1.5L  4,4,1G1ZB5ST2PF114362,CERTIFICATE OF TITLE,"180,475 A",ACTUAL,FRONT END,0 USD,0 USD,0,GA - FAIRBURN,0,N/A,N/A
https://www.copart.com/lot/85936735/clean-title-2023-merz-eqe-amg-4matic-ga-fairburn,85936735,"59,688 USD",03/16/2026 06:00 pm GMT+4,2023,MERZ,EQE AMG 4MATIC,,,W1KEG5DB1PF024475,CERTIFICATE OF TITLE (P),"65,793 A",ACTUAL,FRONT END,0 USD,0 USD,0,GA - FAIRBURN,0,N/A,N/A
https://www.copart.com/lot/85535075/clean-title-2024-bmw-i4-edrive-35-gc-ga-fairburn,85535075,"39,678 USD",03/16/2026 06:00 pm GMT+4,2024,BMW,I4 EDRIVE 35,0,0,WBY43AW0XRFR52034,CERTIFICATE OF TITLE,0 N,NOT ACTUAL,MECHANICAL,0 USD,0 USD,0,GA - FAIRBURN,0,N/A,N/A
https://www.copart.com/lot/85534495/clean-title-2018-bmw-x4-xdrive28i-ga-fairburn,85534495,"23,531 USD",03/16/2026 06:00 pm GMT+4,2018,BMW,X4 XDRIVE28I,2.0L  4,4,5UXXW3C55J0Z60730,CERTIFICATE OF TITLE,"80,845 A",ACTUAL,MECHANICAL,0 USD,0 USD,0,GA - FAIRBURN,0,N/A,N/A
https://www.copart.com/lot/82635335/salvage-2015-chevrolet-malibu-ls-ga-fairburn,82635335,"3,596 USD",03/16/2026 06:00 pm GMT+4,2015,CHEV,MALIBU,2.5L  4,4,1G11B5SL5FF174521,CERT OF TITLE-SALVAGE,0 N,NOT ACTUAL,SIDE,0 USD,0 USD,0,GA - FAIRBURN,0,N/A,N/A
https://www.copart.com/lot/82567385/salvage-2007-buick-rainier-cxl-ga-fairburn,82567385,"5,293 USD",03/16/2026 06:00 pm GMT+4,2007,BUIC,RAINIER,4.2L  6,6,5GADS13S072174956,CERT OF TITLE-SALVAGE,"134,446 A",ACTUAL,FRONT END,0 USD,0 USD,0,GA - FAIRBURN,0,N/A,N/A
https://www.copart.com/lot/82488315/salvage-1995-suzuki-sidekick-jx-ga-fairburn,82488315,"4,454 USD",03/16/2026 06:00 pm GMT+4,1995,SUZI,SIDEKICK,1.6L  4,4,2S3TD03V7S6416521,CERT OF TITLE-SALVAGE,"125,280 E",EXEMPT,SIDE,0 USD,0 USD,0,GA - FAIRBURN,0,N/A,N/A
https://www.copart.com/lot/82173635/clean-title-2018-volvo-v60-t5-wagon-dynamic-ga-fairburn,82173635,"16,744 USD",03/16/2026 06:00 pm GMT+4,2018,VOLV,V60,2.0L 4,4,YV140MELXJ2389290,CERTIFICATE OF TITLE,"180,583 A",ACTUAL,MECHANICAL,0 USD,0 USD,0,GA - FAIRBURN,0,N/A,N/A
https://www.copart.com/lot/82086625/salvage-2016-nissan-pathfinder-s-ga-fairburn,82086625,"3,720 USD",03/16/2026 06:00 pm GMT+4,2016,NISS,PATHFINDER S,3.5L  6,6,5N1AR2MN7GC615340,CERT OF TITLE-SALVAGE,"168,532 N",NOT ACTUAL,REAR END,0 USD,0 USD,0,GA - FAIRBURN,0,N/A,N/A
https://www.copart.com/lot/79829705/clean-title-2021-kia-sportage-lx-ga-fairburn,79829705,$1 USD,03/16/2026 06:00 pm GMT+4,2021,KIA,SPORTAGE,2.4L 4,4,KNDPMCAC1M7888865,CERTIFICATE OF TITLE,"63,314 A",ACTUAL,FRONT END,0 USD,0 USD,0,GA - FAIRBURN,0,N/A,N/A
https://www.copart.com/lot/79813715/clean-title-2017-kia-optima-lx-ga-fairburn,79813715,"3,400 USD",03/16/2026 06:00 pm GMT+4,2017,KIA,OPTIMA,2.4L 4,4,5XXGT4L38HG161726,CERTIFICATE OF TITLE,"199,736 A",ACTUAL,FRONT END,0 USD,0 USD,0,GA - FAIRBURN,0,N/A,N/A
https://www.copart.com/lot/79717665/clean-title-2023-toyota-camry-le-ga-fairburn,79717665,$1 USD,03/16/2026 06:00 pm GMT+4,2023,TOYT,CAMRY,2.5L 4,4,4T1C11AK0PU112747,CERTIFICATE OF TITLE (P),"167,577 A",ACTUAL,REAR END,"9,100 USD",0 USD,0,GA - FAIRBURN,0,N/A,N/A
https://www.copart.com/lot/79717015/clean-title-2023-toyota-corolla-le-ga-fairburn,79717015,$1 USD,03/16/2026 06:00 pm GMT+4,2023,TOYT,COROLLA,2.0L 4,4,5YFB4MDE0PP063531,CERTIFICATE OF TITLE (P),"174,163 A",ACTUAL,MECHANICAL,"7,600 USD",0 USD,0,GA - FAIRBURN,0,N/A,N/A
https://www.copart.com/lot/79689545/clean-title-2010-toyota-camry-le-ga-fairburn,79689545,$1 USD,03/16/2026 06:00 pm GMT+4,2010,TOYT,CAMRY,2.5L 4,4,4T1BF3EK8AU564178,CERTIFICATE OF TITLE,"251,249 A",ACTUAL,MECHANICAL,0 USD,0 USD,0,GA - FAIRBURN,0,N/A,N/A
