Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99502155/2010-subaru-impreza-2-5i-premium-ga-savannah,99502155,"1,250 USD",03/16/2026 06:00 pm GMT+4,2010,SUBA,IMPREZA,2.5L 4,4,JF1GH6B69AH815785,BILL OF SALE - PARTS ONLY,"135,835 A",ACTUAL,FRONT END,0 USD,0 USD,0,GA - SAVANNAH,0,N/A,N/A
https://www.copart.com/lot/99449895/clean-title-2018-toyota-tacoma-double-cab-ga-savannah,99449895,"19,700 USD",03/16/2026 06:00 pm GMT+4,2018,TOYT,TACOMA,2.7L  4,4,5TFAX5GN8JX115534,CERTIFICATE OF TITLE,"191,105 A",ACTUAL,REAR END,125 USD,0 USD,0,GA - SAVANNAH,0,N/A,N/A
https://www.copart.com/lot/98936085/salvage-2022-chevrolet-equinox-lt-ga-savannah,98936085,"18,299 USD",03/16/2026 06:00 pm GMT+4,2022,CHEV,EQUINOX,1.5L  4,4,3GNAXKEV2NL293532,CERT OF TITLE-SALVAGE,"101,284 A",ACTUAL,FRONT END,0 USD,0 USD,0,GA - SAVANNAH,0,N/A,N/A
https://www.copart.com/lot/97588655/salvage-2024-kia-forte-lxs-ga-savannah,97588655,"16,404 USD",03/16/2026 06:00 pm GMT+4,2024,KIA,FORTE,2  L  4,4,3KPF24AD5RE827705,CERT OF TITLE-SALVAGE,"36,629 A",ACTUAL,REAR END,0 USD,0 USD,0,GA - SAVANNAH,0,N/A,N/A
https://www.copart.com/lot/97424045/salvage-2021-ford-f150-supercrew-ga-savannah,97424045,"30,022 USD",03/16/2026 06:00 pm GMT+4,2021,FORD,F150,3.5L  6,6,1FTFW1E85MKD97261,CERT OF TITLE-SALVAGE,"81,720 A",ACTUAL,FRONT END,125 USD,0 USD,0,GA - SAVANNAH,0,N/A,N/A
https://www.copart.com/lot/97179345/salvage-2025-nissan-altima-sv-ga-savannah,97179345,"22,509 USD",03/16/2026 06:00 pm GMT+4,2025,NISS,ALTIMA,2.5L  4,4,1N4BL4DV7SN310977,CERT OF TITLE-SALVAGE,"16,880 A",ACTUAL,PARTIAL REPAIR,0 USD,0 USD,0,GA - SAVANNAH,0,N/A,N/A
https://www.copart.com/lot/97139295/salvage-2020-toyota-tundra-double-cab-sr-ga-savannah,97139295,"37,921 USD",03/16/2026 06:00 pm GMT+4,2020,TOYT,TUNDRA,5.7L  8,8,5TFUY5F10LX934601,CERT OF TITLE-SALVAGE,"33,603 A",ACTUAL,FRONT END,0 USD,0 USD,0,GA - SAVANNAH,0,N/A,N/A
https://www.copart.com/lot/96079245/salvage-2020-toyota-4runner-sr5-premium-ga-savannah,96079245,"32,419 USD",03/16/2026 06:00 pm GMT+4,2020,TOYT,4RUNNER,4.0L 6,6,JTEZU5JR4L5225692,CERT OF TITLE-SALVAGE,0 N,NOT ACTUAL,ROLLOVER,0 USD,0 USD,0,GA - SAVANNAH,0,N/A,N/A
https://www.copart.com/lot/96058115/salvage-2023-gmc-acadia-denali-ga-savannah,96058115,"35,479 USD",03/16/2026 06:00 pm GMT+4,2023,GMC,ACADIA,3.6L 6,6,1GKKNPLSXPZ118342,CERT OF TITLE - SALVAGE,"30,572 A",ACTUAL,SIDE,0 USD,0 USD,0,GA - SAVANNAH,0,N/A,N/A
https://www.copart.com/lot/94365645/salvage-2017-chevrolet-malibu-ls-ga-savannah,94365645,"9,554 USD",03/16/2026 06:00 pm GMT+4,2017,CHEV,MALIBU,1.5L  4,4,1G1ZB5ST0HF153971,CERT OF TITLE-SALVAGE,"97,468 A",ACTUAL,FRONT END,0 USD,0 USD,0,GA - SAVANNAH,0,N/A,N/A
https://www.copart.com/lot/90968285/salvage-2025-honda-pilot-exl-ga-savannah,90968285,"39,101 USD",03/16/2026 06:00 pm GMT+4,2025,HOND,PILOT,3.5L 6,6,5FNYG2H44SB021486,CERT OF TITLE-SALVAGE,"28,580 A",ACTUAL,FRONT END,500 USD,0 USD,0,GA - SAVANNAH,0,N/A,N/A
https://www.copart.com/lot/90339265/salvage-2019-jeep-grand-cherokee-limited-ga-savannah,90339265,"19,115 USD",03/16/2026 06:00 pm GMT+4,2019,JEP,GRAND CHEROKEE,3.6L  6,6,1C4RJFBG1KC854353,CERT OF TITLE-SALVAGE,"69,164 A",ACTUAL,FRONT END,125 USD,0 USD,0,GA - SAVANNAH,0,N/A,N/A
https://www.copart.com/lot/86838065/clean-title-2017-bmw-x5-xdr40e-ga-savannah,86838065,$1 USD,03/16/2026 06:00 pm GMT+4,2017,BMW,X5,2.0L  4,4,5UXKT0C37H0V96322,CERTIFICATE OF TITLE,"95,874 A",ACTUAL,NORMAL WEAR,0 USD,0 USD,0,GA - SAVANNAH,0,N/A,N/A
