Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99552775/clean-title-2016-dutchmen-denali-or-portland-south,99552775,"17,839 USD",03/17/2026 08:00 pm GMT+4,2016,DUTC,DENALI,,,4YDT26122GP940714,CERTIFICATE OF TITLE,0 N,NOT ACTUAL,MINOR DENT/SCRATCHES,"1,650 USD",0 USD,0,OR - PORTLAND SOUTH,0,N/A,N/A
https://www.copart.com/lot/99334165/clean-title-2010-wells-cargo-wells-cargo-trailer-mi-detroit,99334165,"8,500 USD",03/17/2026 08:00 pm GMT+4,2010,WELL,WELLS CARGO TRAILER,,,1WC200L20A1125997,CERTIFICATE OF TITLE,0 E,EXEMPT,MINOR DENT/SCRATCHES,0 USD,0 USD,0,MI - DETROIT,2.7,N/A,N/A
https://www.copart.com/lot/98665905/clean-title-2011-isuzu-npr-hd-dump-truck-or-portland-south,98665905,"12,380 USD",03/17/2026 08:00 pm GMT+4,2011,ISU,NPR,3.0L 4,4,JALB4W178B7400747,CERTIFICATE OF TITLE,"100,980 A",ACTUAL,NORMAL WEAR,0 USD,0 USD,0,OR - PORTLAND SOUTH,2.5,N/A,Other
https://www.copart.com/lot/98408495/clean-title-2012-utility-vs2ra-refrigerated-van-trailer-wi-milwaukee-south,98408495,"8,497 USD",03/17/2026 08:00 pm GMT+4,2012,UTIL,VS2RA,,,1UYVS2351CM248601,CERTIFICATE OF TITLE (P),"65,520 N",NOT ACTUAL,NORMAL WEAR,0 USD,0 USD,0,WI - MILWAUKEE SOUTH,0,N/A,N/A
https://www.copart.com/lot/97541555/clean-title-2007-fleetwood-wilderness-tx-san-antonio,97541555,$1 USD,03/17/2026 08:00 pm GMT+4,2007,FLET,WILDERNESS,,,1ED5R242574016805,CERTIFICATE OF TITLE,0 E,EXEMPT,SIDE,0 USD,0 USD,0,TX - SAN ANTONIO,0,N/A,N/A
https://www.copart.com/lot/97501305/clean-title-2013-mack-cxu613-semi-truck-tx-san-antonio,97501305,"25,498 USD",03/17/2026 08:00 pm GMT+4,2013,MACK,600,10.8L  6,6,1M1AW01Y9DM004876,CERTIFICATE OF TITLE (P),"945,077 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,TX - SAN ANTONIO,0,N/A,N/A
https://www.copart.com/lot/97159255/clean-title-2011-kyrv-outback-wa-north-seattle,97159255,"14,258 USD",03/17/2026 08:00 pm GMT+4,2011,KYRV,OUTBACK,,,4YDF32525BB630544,VEHICLE CERT OF OWNERSHIP-TITL,0 N,NOT ACTUAL,REAR END,0 USD,0 USD,0,WA - NORTH SEATTLE,0,N/A,N/A
https://www.copart.com/lot/96769795/clean-title-2006-ic-corporation-ce-series-school-school-bus-wa-spanaway,96769795,"20,559 USD",03/17/2026 08:00 pm GMT+4,2006,ICRP,3000,6.0L  8,8,4DRBUAFN66A255353,VEHICLE CERT OF OWNERSHIP-TITL,"117,463 E",EXEMPT,MINOR DENT/SCRATCHES,0 USD,0 USD,0,WA - SPANAWAY,0,N/A,N/A
https://www.copart.com/lot/96482165/clean-title-2007-pjxk-unknown-fiber-optic-trailer-ga-atlanta-south,96482165,$1 USD,03/17/2026 08:00 pm GMT+4,2007,PJXK,TRAILER,,,1P9VF051871139552,CERTIFICATE OF TITLE,0 E,EXEMPT,MINOR DENT/SCRATCHES,25 USD,0 USD,0,GA - ATLANTA SOUTH,0,N/A,N/A
https://www.copart.com/lot/96461625/clean-title-2023-wildcat-travel-tra-tx-amarillo,96461625,"30,435 USD",03/17/2026 08:00 pm GMT+4,2023,WILD,TRAVEL TRA,,,4X4TWDC20P7375303,CERTIFICATE OF TITLE,0 N,NOT ACTUAL,HAIL,60 USD,0 USD,0,TX - AMARILLO,0,N/A,N/A
