Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99481115/salvage-2024-inov-unknown-enclosed-cargo-trailer-mi-flint,99481115,"12,000 USD",03/19/2026 08:00 pm GMT+4,2024,INOV,UNKNOWN,,,7PPZ1EF22R1006234,CERT OF TITLE-SALVAGE,0 N,NOT ACTUAL,REAR END,0 USD,0 USD,0,MI - FLINT,0,N/A,N/A
https://www.copart.com/lot/98764745/salvage-1995-flatbed-trailer-tn-nashville,98764745,"23,402 USD",03/19/2026 08:00 pm GMT+4,1995,MACK,600,6,6,1M1AA18Y5SW047493,SALVAGE CERTIFICATE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,TN - NASHVILLE,0,N/A,N/A
https://www.copart.com/lot/98663725/salvage-1999-kenworth-construction-w900-ca-san-bernardino,98663725,"44,005 USD",03/19/2026 08:00 pm GMT+4,1999,KW,CONSTRUCTION,14.6L  6,6,1XKWDB9X9XR798339,SALVAGE CERTIFICATE,"700,275 A",ACTUAL,ALL OVER,0 USD,0 USD,0,CA - SAN BERNARDINO,0,N/A,N/A
https://www.copart.com/lot/98554575/salvage-2011-ford-f750-flatbed-truck-il-southern-illinois,98554575,"57,205 USD",03/19/2026 08:00 pm GMT+4,2011,FORD,F750 SUPER,6.7L  6,6,3FRXW7FG3BV622325,SALVAGE CERTIFICATE,"74,643 A",ACTUAL,FRONT END,225 USD,0 USD,0,IL - SOUTHERN ILLINOIS,0,N/A,N/A
https://www.copart.com/lot/98411965/salvage-2024-quality-cargo-6x12sa-enclosed-cargo-trailer-il-southern-illinois,98411965,"4,305 USD",03/19/2026 08:00 pm GMT+4,2024,QLUA,6X12SA,,,50ZBE1219RN055580,SALVAGE CERTIFICATE,0 N,NOT ACTUAL,ALL OVER,0 USD,0 USD,0,IL - SOUTHERN ILLINOIS,0,N/A,N/A
https://www.copart.com/lot/98189995/salvage-2007-coach-spiritamer-ca-adelanto,98189995,"13,665 USD",03/19/2026 08:00 pm GMT+4,2007,COAC,SPIRITAMER,,,1TC2B141971503384,SALVAGE CERTIFICATE,0 E,EXEMPT,VANDALISM,0 USD,0 USD,0,CA - ADELANTO,0,N/A,N/A
https://www.copart.com/lot/98139345/1996-kenworth-construction-t800-co-denver,98139345,"34,584 USD",03/19/2026 08:00 pm GMT+4,1996,KW,CONSTRUCTION,14.6L  6,6,1XKDDB9X2TS728322,BILL OF SALE-PARTS ONLY,"671,106 X",EXCEEDS MECHANICAL LIMITS,FRAME DAMAGE,0 USD,0 USD,0,CO - DENVER,0,N/A,N/A
https://www.copart.com/lot/98023225/salvage-2014-utility-vs2ra-refrigerated-van-trailer-ut-ogden,98023225,"21,138 USD",03/19/2026 08:00 pm GMT+4,2014,UTIL,53' TRL,,,1UYVS253XFM273402,SALVAGE CERTIFICATE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,UT - OGDEN,0,N/A,N/A
https://www.copart.com/lot/97961765/salvage-2023-peterbilt-579-ca-sacramento,97961765,"73,950 USD",03/19/2026 08:00 pm GMT+4,2023,PTRB,579,12.9L  6,6,1XPBDP9X1PD886160,SALVAGE CERTIFICATE,0 N,NOT ACTUAL,WATER/FLOOD,0 USD,0 USD,0,CA - SACRAMENTO,0,N/A,N/A
https://www.copart.com/lot/97865375/salvage-2004-wilson-dwh-500-grain-trailer-in-cicero,97865375,"20,803 USD",03/19/2026 08:00 pm GMT+4,2004,WFAL,UNKNOWN,,,1W1MAFYW34A238683,SALVAGE CERTIFICATE,0 E,EXEMPT,ALL OVER,0 USD,0 USD,0,IN - CICERO,0,N/A,N/A
