Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99915395/salvage-2019-chrysler-pacifica-touring-l-ia-cedar-rapids,99915395,"9,093 USD",03/18/2026 09:00 pm GMT+4,2019,CHRY,PACIFICA,3.6L  6,6,2C4RC1BG4KR710655,CERT OF TITLE-SALVAGE TITLE,"207,094 A",ACTUAL,REAR END,0 USD,0 USD,0,IA - CEDAR RAPIDS,0,N/A,N/A
https://www.copart.com/lot/99577795/salvage-2020-ford-f-150-ia-cedar-rapids,99577795,"20,949 USD",03/18/2026 09:00 pm GMT+4,2020,FORD,F 150,5.0L  8,8,1FTEW1E55LKE63162,CERT OF TITLE-SALVAGE TITLE,"203,611 A",ACTUAL,SIDE,0 USD,0 USD,0,IA - CEDAR RAPIDS,0,N/A,N/A
https://www.copart.com/lot/99553615/salvage-2025-kia-telluride-sx-ia-cedar-rapids,99553615,"41,952 USD",03/18/2026 09:00 pm GMT+4,2025,KIA,TELLURIDE,3.8L  6,6,5XYP5DGC2SG604511,CERT OF TITLE-SALVAGE TITLE,"19,639 A",ACTUAL,FRONT END,0 USD,0 USD,0,IA - CEDAR RAPIDS,0,N/A,N/A
https://www.copart.com/lot/99228545/salvage-2005-honda-odyssey-exl-ia-cedar-rapids,99228545,"2,631 USD",03/18/2026 09:00 pm GMT+4,2005,HOND,ODYSSEY,3.5L  6,6,5FNRL38745B134472,CERT OF TITLE-SALVAGE TITLE,"310,683 E",EXEMPT,SIDE,0 USD,0 USD,0,IA - CEDAR RAPIDS,0,N/A,N/A
https://www.copart.com/lot/98982615/salvage-2012-honda-cr-v-exl-ia-cedar-rapids,98982615,"10,476 USD",03/18/2026 09:00 pm GMT+4,2012,HOND,CR-V,2.4L  4,4,5J6RM4H74CL008071,CERT OF TITLE-SALVAGE TITLE,"133,166 A",ACTUAL,FRONT END,0 USD,0 USD,0,IA - CEDAR RAPIDS,0,N/A,N/A
https://www.copart.com/lot/98718755/salvage-2017-chevrolet-silverado-k1500-ltz-ia-cedar-rapids,98718755,"18,795 USD",03/18/2026 09:00 pm GMT+4,2017,CHEV,SILVERADO,5.3L  8,8,3GCUKSEC7HG346466,CERT OF TITLE-SALVAGE TITLE,"160,682 A",ACTUAL,FRONT END,0 USD,0 USD,0,IA - CEDAR RAPIDS,0,N/A,N/A
https://www.copart.com/lot/98486865/salvage-2025-hyundai-santa-fe-se-ia-cedar-rapids,98486865,"33,143 USD",03/18/2026 09:00 pm GMT+4,2025,HYUN,SANTA FE,2.5L  4,4,5NMP1DGL1SH128088,CERT OF TITLE-SALVAGE TITLE,"4,260 A",ACTUAL,FRONT END,0 USD,0 USD,0,IA - CEDAR RAPIDS,0,N/A,N/A
https://www.copart.com/lot/98349555/salvage-2022-hyundai-tucson-sel-ia-cedar-rapids,98349555,"19,407 USD",03/18/2026 09:00 pm GMT+4,2022,HYUN,TUCSON,2.5L  4,4,KM8JBCAE5NU064850,CERT OF TITLE-SALVAGE TITLE,"57,453 A",ACTUAL,FRONT END,0 USD,0 USD,0,IA - CEDAR RAPIDS,0,N/A,N/A
https://www.copart.com/lot/97490235/salvage-2018-hyundai-sonata-sport-ia-cedar-rapids,97490235,"6,750 USD",03/18/2026 09:00 pm GMT+4,2018,HYUN,SONATA,2.4L  4,4,5NPE34AF4JH638392,CERT OF TITLE-SALVAGE TITLE,"173,684 A",ACTUAL,FRONT END,100 USD,0 USD,0,IA - CEDAR RAPIDS,0,N/A,N/A
https://www.copart.com/lot/97374805/salvage-2024-dodge-durango-rt-ia-cedar-rapids,97374805,"38,746 USD",03/18/2026 09:00 pm GMT+4,2024,DODG,DURANGO,5.7L  8,8,1C4SDJCT7RC174684,CERT OF TITLE-SALVAGE TITLE,"22,036 A",ACTUAL,BURN - ENGINE,"1,550 USD",0 USD,0,IA - CEDAR RAPIDS,0,N/A,N/A
https://www.copart.com/lot/97294945/salvage-1999-chevrolet-suburban-ia-cedar-rapids,97294945,"6,045 USD",03/18/2026 09:00 pm GMT+4,1999,CHEV,SUBURBAN,5.7L  8,8,1GNFK16RXXJ505992,CERT OF TITLE-SALVAGE TITLE,"152,713 E",EXEMPT,REAR END,0 USD,0 USD,0,IA - CEDAR RAPIDS,0,N/A,N/A
https://www.copart.com/lot/97219395/salvage-2017-gmc-sierra-k1500-slt-ia-cedar-rapids,97219395,"19,044 USD",03/18/2026 09:00 pm GMT+4,2017,GMC,SIERRA,5.3L  8,8,3GTU2NEC3HG327026,CERT OF TITLE-SALVAGE TITLE,"154,390 A",ACTUAL,FRONT END,0 USD,0 USD,0,IA - CEDAR RAPIDS,0,N/A,N/A
https://www.copart.com/lot/97055745/salvage-2008-honda-accord-lx-ia-cedar-rapids,97055745,"2,812 USD",03/18/2026 09:00 pm GMT+4,2008,HOND,ACCORD LX-,2.4L  4,4,1HGCS12838A014739,CERT OF TITLE-SALVAGE TITLE,"245,642 E",EXEMPT,FRONT END,0 USD,0 USD,0,IA - CEDAR RAPIDS,0,N/A,N/A
https://www.copart.com/lot/97006425/salvage-2024-hyundai-tucson-se-ia-cedar-rapids,97006425,"23,091 USD",03/18/2026 09:00 pm GMT+4,2024,HYUN,TUCSON,2.5L  4,4,5NMJACDE4RH364220,CERT OF TITLE-SALVAGE TITLE,"14,427 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,IA - CEDAR RAPIDS,0,N/A,N/A
https://www.copart.com/lot/96559905/salvage-2008-chevrolet-trailblazer-ls-ia-cedar-rapids,96559905,"1,684 USD",03/18/2026 09:00 pm GMT+4,2008,CHEV,TRAILBLAZER,4.2L  6,6,1GNDT13S082143260,SALVAGE CERTIFICATE OF TITLE,"316,432 A",ACTUAL,FRONT END,0 USD,0 USD,0,IA - CEDAR RAPIDS,0,N/A,N/A
https://www.copart.com/lot/95738675/salvage-2007-dodge-ram-3500-st-ia-cedar-rapids,95738675,"17,827 USD",03/18/2026 09:00 pm GMT+4,2007,DODG,RAM 3500,6.7L  6,6,3D7MX38A97G830631,CERT OF TITLE-SALVAGE TITLE,"228,658 E",EXEMPT,BURN - INTERIOR,80 USD,0 USD,0,IA - CEDAR RAPIDS,0,N/A,N/A
https://www.copart.com/lot/95609285/salvage-2018-chevrolet-volt-lt-ia-cedar-rapids,95609285,"12,928 USD",03/18/2026 09:00 pm GMT+4,2018,CHEV,VOLT,1.5L  4,4,1G1RA6S52JU131563,CERT OF TITLE-SALVAGE TITLE,"87,389 N",NOT ACTUAL,REAR END,100 USD,0 USD,0,IA - CEDAR RAPIDS,0,N/A,N/A
https://www.copart.com/lot/95204305/salvage-2016-chrysler-town-&-country-touring-l-ia-cedar-rapids,95204305,"6,934 USD",03/18/2026 09:00 pm GMT+4,2016,CHRY,TOWN & COUNTRY,3.6L  6,6,2C4RC1CG0GR189231,CERT OF TITLE-SALVAGE TITLE,"165,687 A",ACTUAL,FRONT END,0 USD,0 USD,0,IA - CEDAR RAPIDS,0,N/A,N/A
https://www.copart.com/lot/94741315/clean-title-2011-dodge-ram-1500-ia-cedar-rapids,94741315,"2,700 USD",03/18/2026 09:00 pm GMT+4,2011,DODG,RAM 1500,5.7L  8,8,1D7RB1GT3BS703659,NON PUBLIC CLEAN TITLE,"202,715 N",NOT ACTUAL,SIDE,0 USD,0 USD,0,IA - CEDAR RAPIDS,0,N/A,N/A
https://www.copart.com/lot/94631155/salvage-2015-toyota-rav4-limited-ia-cedar-rapids,94631155,"14,086 USD",03/18/2026 09:00 pm GMT+4,2015,TOYT,RAV4,2.5L  4,4,2T3DFREV6FW274168,CERT OF TITLE-SALVAGE TITLE,"131,476 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,IA - CEDAR RAPIDS,0,N/A,N/A
https://www.copart.com/lot/93907215/salvage-2012-volkswagen-passat-sel-ia-cedar-rapids,93907215,"5,642 USD",03/18/2026 09:00 pm GMT+4,2012,VOLK,PASSAT,2.0L  4,4,1VWCN7A39CC032963,CERT OF TITLE-SALVAGE TITLE,"174,688 A",ACTUAL,FRONT END,0 USD,0 USD,0,IA - CEDAR RAPIDS,0,N/A,N/A
https://www.copart.com/lot/92026035/salvage-2008-nissan-altima-ia-cedar-rapids,92026035,"2,830 USD",03/18/2026 09:00 pm GMT+4,2008,NISS,ALTIMA,2.5L  4,4,1N4AL21E18N518012,CERT OF TITLE-SALVAGE TITLE,"283,124 E",EXEMPT,FRONT END,0 USD,0 USD,0,IA - CEDAR RAPIDS,0,N/A,N/A
https://www.copart.com/lot/85546445/salvage-2015-chevrolet-equinox-lt-ia-cedar-rapids,85546445,"6,100 USD",03/18/2026 09:00 pm GMT+4,2015,CHEV,EQUINOX,2.4L  4,4,2GNFLFEK3F6276579,CERT OF TITLE-SALVAGE TITLE,"166,472 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,IA - CEDAR RAPIDS,0,N/A,N/A
https://www.copart.com/lot/81133735/salvage-2007-saturn-ion-level-2-ia-cedar-rapids,81133735,"3,113 USD",03/18/2026 09:00 pm GMT+4,2007,SATU,ION,2.2L  4,4,1G8AZ55F17Z187740,CERT OF TITLE-SALVAGE TITLE,"156,451 E",EXEMPT,SIDE,0 USD,0 USD,0,IA - CEDAR RAPIDS,0,N/A,N/A
https://www.copart.com/lot/77697915/salvage-2009-ford-edge-sel-ia-cedar-rapids,77697915,"2,675 USD",03/18/2026 09:00 pm GMT+4,2009,FORD,EDGE,3.5L  6,6,2FMDK38CX9BA65084,CERT OF TITLE-SALVAGE TITLE,"211,530 E",EXEMPT,FRONT END,0 USD,0 USD,0,IA - CEDAR RAPIDS,0,N/A,N/A
https://www.copart.com/lot/77594235/clean-title-2025-ford-maverick-xl-ia-cedar-rapids,77594235,$1 USD,03/18/2026 09:00 pm GMT+4,2025,FORD,MAVERICK,2.0L  4,4,3FTTW8BA8SRA38644,CERTIFICATE OF TITLE,"19,953 A",ACTUAL,REAR END,"1,150 USD",0 USD,0,IA - CEDAR RAPIDS,0,N/A,N/A
https://www.copart.com/lot/77198005/salvage-2013-chevrolet-equinox-lt-ia-cedar-rapids,77198005,"5,566 USD",03/18/2026 09:00 pm GMT+4,2013,CHEV,EQUINOX,2.4L  4,4,2GNALDEK1D6281548,CERT OF TITLE-SALVAGE TITLE,"108,497 A",ACTUAL,FRONT END,0 USD,0 USD,0,IA - CEDAR RAPIDS,0,N/A,N/A
https://www.copart.com/lot/77164595/salvage-2014-dodge-charger-rt-ia-cedar-rapids,77164595,"7,441 USD",03/18/2026 09:00 pm GMT+4,2014,DODG,CHARGER,5.7L  8,8,2C3CDXDT3EH167247,SALVAGE W/SALVAGE HISTORY,"135,468 A",ACTUAL,FRONT END,100 USD,0 USD,0,IA - CEDAR RAPIDS,0,N/A,N/A
