Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99437055/salvage-2001-bmw-740-i-automatic-il-chicago-north,99437055,"16,700 USD",03/17/2026 09:00 pm GMT+4,2001,BMW,740,4.4L 8,8,WBAGG83481DN84663,SALVAGE CERTIFICATE,0 E,EXEMPT,FRONT END,0 USD,0 USD,0,IL - CHICAGO NORTH,0,N/A,N/A
https://www.copart.com/lot/99326535/salvage-2023-lucid-motors-air-touring-il-chicago-north,99326535,"44,940 USD",03/17/2026 09:00 pm GMT+4,2023,LUCI,AIR,,,50EA1TEA1PA003879,SALVAGE CERTIFICATE,"42,358 A",ACTUAL,FRONT END,250 USD,0 USD,0,IL - CHICAGO NORTH,0,N/A,N/A
https://www.copart.com/lot/99105215/salvage-2019-chrysler-pacifica-touring-l-il-chicago-north,99105215,"18,137 USD",03/17/2026 09:00 pm GMT+4,2019,CHRY,PACIFICA,3.6L 6,6,2C4RC1BG5KR588940,SALVAGE CERTIFICATE,"68,746 A",ACTUAL,FRONT END,0 USD,0 USD,0,IL - CHICAGO NORTH,0,N/A,N/A
https://www.copart.com/lot/98619925/salvage-2018-toyota-rav4-hybrid-xle-il-chicago-north,98619925,"17,464 USD",03/17/2026 09:00 pm GMT+4,2018,TOYT,RAV4 HYBRID,2.5L 4,4,JTMRJREV1JD206502,SALVAGE CERTIFICATE,"90,741 A",ACTUAL,REAR END,0 USD,0 USD,0,IL - CHICAGO NORTH,0,N/A,N/A
https://www.copart.com/lot/97796915/salvage-2025-buick-enclave-preferred-il-chicago-north,97796915,"36,698 USD",03/17/2026 09:00 pm GMT+4,2025,BUIC,ENCLAVE,2.5L  4,4,5GAERARS8SJ104742,SALVAGE CERTIFICATE,"25,769 A",ACTUAL,FRONT END,250 USD,0 USD,0,IL - CHICAGO NORTH,0,N/A,N/A
https://www.copart.com/lot/97777105/salvage-2019-chevrolet-traverse-lt-il-chicago-north,97777105,"19,710 USD",03/17/2026 09:00 pm GMT+4,2019,CHEV,TRAVERSE,3.6L 6,6,1GNERGKWXKJ159117,SALVAGE CERTIFICATE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,IL - CHICAGO NORTH,0,N/A,N/A
https://www.copart.com/lot/97725575/salvage-2024-volkswagen-atlas-cross-sport-se-il-chicago-north,97725575,"29,640 USD",03/17/2026 09:00 pm GMT+4,2024,VOLK,ATLAS CROSS SPORT,2.0L  4,4,1V2KE2CA4RC233609,SALVAGE CERTIFICATE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,IL - CHICAGO NORTH,0,N/A,N/A
https://www.copart.com/lot/94298675/salvage-2022-toyota-highlander-hybrid-platinum-il-chicago-north,94298675,"43,882 USD",03/17/2026 09:00 pm GMT+4,2022,TOYT,HIGHLANDER HYBRID,2.5L 4,4,5TDEBRCH0NS082015,SALVAGE CERTIFICATE,"38,778 A",ACTUAL,VANDALISM,300 USD,0 USD,0,IL - CHICAGO NORTH,0,N/A,N/A
https://www.copart.com/lot/93712135/salvage-2020-bentley-flying-spur-il-chicago-north,93712135,"147,189 USD",03/17/2026 09:00 pm GMT+4,2020,BENT,FLYING SPUR,6.0L 12,12,SCBBB6ZG7LC083017,SALVAGE CERTIFICATE,"25,831 A",ACTUAL,FRONT END,0 USD,0 USD,0,IL - CHICAGO NORTH,0,N/A,N/A
https://www.copart.com/lot/92953865/clean-title-2021-ford-econoline-e350-super-duty-cutaway-van-il-chicago-north,92953865,"26,080 USD",03/17/2026 09:00 pm GMT+4,2021,FORD,ECONOLINE,7.3L  8,8,1FDWE3FN8MDC12459,CERTIFICATE OF TITLE,"204,077 A",ACTUAL,MECHANICAL,0 USD,0 USD,0,IL - CHICAGO NORTH,0,N/A,N/A
