Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99873155/salvage-2017-ford-focus-sel-in-cicero,99873155,"7,065 USD",03/17/2026 06:00 pm GMT+4,2017,FORD,FOCUS,2.0L  4,4,1FADP3H26HL249004,CERT OF TITLE-SALVAGE TITLE,"105,777 A",ACTUAL,UNDERCARRIAGE,30 USD,0 USD,0,IN - CICERO,0,N/A,N/A
https://www.copart.com/lot/99820455/salvage-2008-jeep-wrangler-unlimited-sahara-in-cicero,99820455,"10,689 USD",03/17/2026 06:00 pm GMT+4,2008,JEP,WRANGLER UNLIMITED,3.8L  6,6,1J4GA59188L525431,CERT OF TITLE-SALVAGE TITLE,"115,099 A",ACTUAL,FRONT END,0 USD,0 USD,0,IN - CICERO,0,N/A,N/A
https://www.copart.com/lot/99580885/salvage-2014-toyota-camry-l-in-cicero,99580885,"7,603 USD",03/17/2026 06:00 pm GMT+4,2014,TOYT,CAMRY,2.5L  4,4,4T4BF1FK3ER338287,CERT OF TITLE-SALVAGE TITLE,"157,411 A",ACTUAL,FRONT END,0 USD,0 USD,0,IN - CICERO,0,N/A,N/A
https://www.copart.com/lot/99181645/salvage-2020-mazda-3-preferred-in-cicero,99181645,"16,641 USD",03/17/2026 06:00 pm GMT+4,2020,MAZD,3,2.5L  4,4,JM1BPAMM7L1167705,CERT OF TITLE-SALVAGE TITLE,"59,830 A",ACTUAL,SIDE,0 USD,0 USD,0,IN - CICERO,0,N/A,N/A
https://www.copart.com/lot/98834125/salvage-2019-dodge-challenger-gt-in-cicero,98834125,"11,200 USD",03/17/2026 06:00 pm GMT+4,2019,DODG,CHALLENGER,3.6L  6,6,2C3CDZJG0KH587403,CERT OF TITLE-SALVAGE TITLE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,IN - CICERO,0,N/A,N/A
https://www.copart.com/lot/98755305/salvage-2024-kia-forte-gt-line-in-cicero,98755305,"17,428 USD",03/17/2026 06:00 pm GMT+4,2024,KIA,FORTE,2  L  4,4,3KPF54AD8RE700860,CERT OF TITLE-SALVAGE TITLE,"55,377 A",ACTUAL,FRONT END,0 USD,0 USD,0,IN - CICERO,0,N/A,N/A
https://www.copart.com/lot/98124835/salvage-2023-kia-sportage-x-pro-in-cicero,98124835,"25,607 USD",03/17/2026 06:00 pm GMT+4,2023,KIA,SPORTAGE,2.5L  4,4,5XYK7CAF1PG089221,SALVAGE CERTIFICATE OF TITLE,"31,267 A",ACTUAL,FRONT END,0 USD,0 USD,0,IN - CICERO,0,N/A,N/A
https://www.copart.com/lot/97114345/salvage-2016-chrysler-200-c-in-cicero,97114345,"10,203 USD",03/17/2026 06:00 pm GMT+4,2016,CHRY,200,3.6L  6,6,1C3CCCCG7GN185230,SALVAGE CERTIFICATE OF TITLE,"92,302 A",ACTUAL,FRONT END,0 USD,0 USD,0,IN - CICERO,0,N/A,N/A
https://www.copart.com/lot/95906105/salvage-2016-gmc-terrain-slt-in-cicero,95906105,"8,581 USD",03/17/2026 06:00 pm GMT+4,2016,GMC,TERRAIN,3.6L  6,6,2GKFLUE31G6180770,SALVAGE CERTIFICATE OF TITLE,"137,960 A",ACTUAL,FRONT END,0 USD,0 USD,0,IN - CICERO,0,N/A,N/A
https://www.copart.com/lot/95800185/salvage-2022-nissan-versa-sr-in-cicero,95800185,"13,174 USD",03/17/2026 06:00 pm GMT+4,2022,NISS,VERSA,1.6L  4,4,3N1CN8FV8NL838791,CERT OF TITLE-SALVAGE TITLE,"69,261 A",ACTUAL,REAR END,0 USD,0 USD,0,IN - CICERO,0,N/A,N/A
