Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99998085/salvage-2016-chevrolet-malibu-lt-in-fort-wayne,99998085,"8,126 USD",03/16/2026 06:00 pm GMT+4,2016,CHEV,MALIBU,1.5L  4,4,1G1ZE5ST9GF227300,CERT OF TITLE-SALVAGE,"120,397 A",ACTUAL,FRONT END,0 USD,0 USD,0,IN - FORT WAYNE,0,N/A,N/A
https://www.copart.com/lot/99932805/salvage-2018-ford-edge-titanium-in-fort-wayne,99932805,"12,711 USD",03/16/2026 06:00 pm GMT+4,2018,FORD,EDGE,2.0L  4,4,2FMPK4K99JBC03847,CERT OF TITLE-SALVAGE TITLE,"90,035 A",ACTUAL,FRONT END,0 USD,0 USD,0,IN - FORT WAYNE,0,N/A,N/A
https://www.copart.com/lot/99927345/clean-title-2018-nissan-sentra-s-in-fort-wayne,99927345,"8,007 USD",03/16/2026 06:00 pm GMT+4,2018,NISS,SENTRA,1.8L  4,4,3N1AB7AP4JY202210,CERTIFICATE OF TITLE,"187,278 A",ACTUAL,REAR END,0 USD,0 USD,0,IN - FORT WAYNE,0,N/A,N/A
https://www.copart.com/lot/99927215/clean-title-2003-honda-accord-ex-in-fort-wayne,99927215,$1 USD,03/16/2026 06:00 pm GMT+4,2003,HOND,ACCORD,2.4L 4,4,1HGCM56673A029585,BILL OF SALE,"220,193 E",EXEMPT,FRONT END,0 USD,0 USD,0,IN - FORT WAYNE,0,N/A,N/A
https://www.copart.com/lot/99897355/salvage-2025-honda-odyssey-exl-in-fort-wayne,99897355,"33,500 USD",03/16/2026 06:00 pm GMT+4,2025,HOND,ODYSSEY,3.5L  6,6,5FNRL6H67SB029221,CERT OF TITLE-SALVAGE TITLE,"29,335 A",ACTUAL,FRONT END,0 USD,0 USD,0,IN - FORT WAYNE,0,N/A,N/A
https://www.copart.com/lot/99897195/salvage-2015-chevrolet-equinox-ls-in-fort-wayne,99897195,"4,010 USD",03/16/2026 06:00 pm GMT+4,2015,CHEV,EQUINOX,2.4L  4,4,1GNALAEK4FZ119242,CERT OF TITLE-SALVAGE TITLE,"162,397 A",ACTUAL,FRONT END,0 USD,0 USD,0,IN - FORT WAYNE,0,N/A,N/A
https://www.copart.com/lot/99730815/salvage-2013-gmc-yukon-slt-in-fort-wayne,99730815,"7,238 USD",03/16/2026 06:00 pm GMT+4,2013,GMC,YUKON,5.3L  8,8,1GKS2CE01DR354340,CERT OF TITLE-SALVAGE TITLE,"205,234 A",ACTUAL,UNDERCARRIAGE,0 USD,0 USD,0,IN - FORT WAYNE,0,N/A,N/A
https://www.copart.com/lot/99695745/salvage-2007-toyota-camry-xle-in-fort-wayne,99695745,"4,163 USD",03/16/2026 06:00 pm GMT+4,2007,TOYT,CAMRY,2.4L  4,4,JTNBE46K473078666,CERT OF TITLE-SALVAGE TITLE,0 E,EXEMPT,FRONT END,0 USD,0 USD,0,IN - FORT WAYNE,0,N/A,N/A
https://www.copart.com/lot/99692705/salvage-2016-chrysler-200-limited-in-fort-wayne,99692705,"5,824 USD",03/16/2026 06:00 pm GMT+4,2016,CHRY,200,2.4L  4,4,1C3CCCAB3GN181117,CERT OF TITLE-SALVAGE TITLE,"99,583 X",EXCEEDS MECHANICAL LIMITS,FRONT END,0 USD,0 USD,0,IN - FORT WAYNE,0,N/A,N/A
https://www.copart.com/lot/99658575/clean-title-2017-ford-fusion-se-in-fort-wayne,99658575,"7,637 USD",03/16/2026 06:00 pm GMT+4,2017,FORD,FUSION,2.0L  4,4,3FA6P0H96HR112490,CERTIFICATE OF TITLE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,IN - FORT WAYNE,0,N/A,N/A
