Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/98657985/clean-title-2017-kia-sportage-lx-ky-lexington-east,98657985,$1 USD,03/16/2026 06:00 pm GMT+4,2017,KIA,SPORTAGE,2.4L  4,4,KNDPM3AC5H7034645,CERT OF TITLE-REPOSSESSION,"115,034 A",ACTUAL,FRONT END,0 USD,0 USD,0,KY - LEXINGTON EAST,0,N/A,N/A
https://www.copart.com/lot/98537845/salvage-2025-toyota-rav4-le-ky-lexington-east,98537845,"31,754 USD",03/16/2026 06:00 pm GMT+4,2025,TOYT,RAV4,2.5L  4,4,2T3G1RFV4SW550934,CERT OF TITLE-SALVAGE,"7,675 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,KY - LEXINGTON EAST,0,N/A,N/A
https://www.copart.com/lot/97534505/salvage-2018-dodge-durango-sxt-ky-lexington-east,97534505,"16,392 USD",03/16/2026 06:00 pm GMT+4,2018,DODG,DURANGO,3.6L  6,6,1C4RDJAG0JC116800,CERT OF TITLE-SALVAGE,"160,451 A",ACTUAL,SIDE,0 USD,0 USD,0,KY - LEXINGTON EAST,0,N/A,N/A
https://www.copart.com/lot/97092245/salvage-2024-kia-forte-lx-ky-lexington-east,97092245,"18,518 USD",03/16/2026 06:00 pm GMT+4,2024,KIA,FORTE,2  L  4,4,3KPF24ADXRE769607,CERT OF TITLE-SALVAGE,"44,159 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,KY - LEXINGTON EAST,0,N/A,N/A
https://www.copart.com/lot/94675195/salvage-2021-toyota-4runner-ky-lexington-east,94675195,"37,936 USD",03/16/2026 06:00 pm GMT+4,2021,TOYT,4RUNNER,4.0L  6,6,JTEKU5JR6M5845978,CERT OF TITLE-SALVAGE,"52,178 A",ACTUAL,FRONT END,0 USD,0 USD,0,KY - LEXINGTON EAST,0,N/A,N/A
https://www.copart.com/lot/94091295/clean-title-2012-dodge-ram-3500-st-ky-lexington-east,94091295,"12,100 USD",03/16/2026 06:00 pm GMT+4,2012,DODG,RAM 3500,5.7L  8,8,3C7WDSAT9CG150260,CERTIFICATE OF TITLE,"200,632 A",ACTUAL,MECHANICAL,0 USD,0 USD,0,KY - LEXINGTON EAST,0,N/A,N/A
https://www.copart.com/lot/92123295/clean-title-2017-volvo-vnl-semi-truck-ky-lexington-east,92123295,"71,489 USD",03/16/2026 06:00 pm GMT+4,2017,VOLV,VN VNL,12.8L  6,6,4V4NC9EH7HN979065,CERTIFICATE OF TITLE (P),0 N,NOT ACTUAL,ROLLOVER,0 USD,0 USD,0,KY - LEXINGTON EAST,0,N/A,N/A
https://www.copart.com/lot/90456955/clean-title-2018-western-star-5700-semi-truck-ky-lexington-east,90456955,"50,589 USD",03/16/2026 06:00 pm GMT+4,2018,WSTR,5700 XE,14.8L  6,6,5KJJBHDR0JLJU9145,CERTIFICATE OF TITLE (P),"649,310 A",ACTUAL,FRONT END,0 USD,0 USD,0,KY - LEXINGTON EAST,0,N/A,N/A
https://www.copart.com/lot/86136345/salvage-2021-kia-telluride-lx-ky-lexington-east,86136345,"16,066 USD",03/16/2026 06:00 pm GMT+4,2021,KIA,TELLURIDE,3.8L  6,6,5XYP24HC4MG105753,CERT OF TITLE-SALVAGE,"136,031 A",ACTUAL,FRONT END,0 USD,0 USD,0,KY - LEXINGTON EAST,0,N/A,N/A
https://www.copart.com/lot/79708745/clean-title-2013-mercedes-benz-glk-350-4matic-ky-lexington-east,79708745,"7,850 USD",03/16/2026 06:00 pm GMT+4,2013,MERZ,GLK,3.5L 6,6,WDCGG8JB2DF941486,CERTIFICATE OF TITLE (P),"182,469 A",ACTUAL,FRONT END,0 USD,0 USD,0,KY - LEXINGTON EAST,0,N/A,N/A
https://www.copart.com/lot/79706835/clean-title-2016-audi-sq5-premium-plus-ky-lexington-east,79706835,$1 USD,03/16/2026 06:00 pm GMT+4,2016,AUDI,SQ5,3.0L 6,6,WA1CCAFP1GA006029,CERTIFICATE OF TITLE (P),"137,700 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,KY - LEXINGTON EAST,0,N/A,N/A
https://www.copart.com/lot/79590885/clean-title-2018-bmw-x2-xdrive28i-ky-lexington-east,79590885,"13,250 USD",03/16/2026 06:00 pm GMT+4,2018,BMW,X2,2.0L 4,4,WBXYJ5C33JEF74654,CERTIFICATE OF TITLE,"98,788 A",ACTUAL,FRONT END,0 USD,0 USD,0,KY - LEXINGTON EAST,0,N/A,N/A
https://www.copart.com/lot/79490705/clean-title-2015-bmw-x1-xdrive28i-ky-lexington-east,79490705,"9,000 USD",03/16/2026 06:00 pm GMT+4,2015,BMW,X1,2.0L 4,4,WBAVL1C57FVY29229,CERTIFICATE OF TITLE (P),0 N,NOT ACTUAL,NORMAL WEAR,0 USD,0 USD,0,KY - LEXINGTON EAST,0,N/A,N/A
https://www.copart.com/lot/78779725/clean-title-2015-mercedes-benz-gl-450-4matic-ky-lexington-east,78779725,"7,475 USD",03/16/2026 06:00 pm GMT+4,2015,MERZ,GL,3.0L 6,6,4JGDF6EE1FA497789,CERTIFICATE OF TITLE,"153,574 A",ACTUAL,NORMAL WEAR,0 USD,0 USD,0,KY - LEXINGTON EAST,0,N/A,N/A
https://www.copart.com/lot/78778765/clean-title-2018-mitsubishi-outlander-sport-es-ky-lexington-east,78778765,"8,413 USD",03/16/2026 06:00 pm GMT+4,2018,MITS,OUTLANDER SPORT,2.0L 4,4,JA4AR3AU5JZ034035,CERTIFICATE OF TITLE,"172,979 A",ACTUAL,FRONT END,0 USD,0 USD,0,KY - LEXINGTON EAST,0,N/A,N/A
https://www.copart.com/lot/78526925/clean-title-2010-toyota-4runner-trail-ky-lexington-east,78526925,"14,200 USD",03/16/2026 06:00 pm GMT+4,2010,TOYT,4RUNNER,4.0L 6,6,JTEBU5JRXA5001650,CERTIFICATE OF TITLE,"369,090 A",ACTUAL,NORMAL WEAR,175 USD,0 USD,0,KY - LEXINGTON EAST,0,N/A,N/A
https://www.copart.com/lot/78485505/clean-title-2018-bmw-540-i-ky-lexington-east,78485505,"19,700 USD",03/16/2026 06:00 pm GMT+4,2018,BMW,540,3.0L  6,6,WBAJE5C58JWA96792,CERTIFICATE OF TITLE,"105,915 A",ACTUAL,NORMAL WEAR,0 USD,0 USD,0,KY - LEXINGTON EAST,0,N/A,N/A
https://www.copart.com/lot/78485465/clean-title-2016-chevrolet-silverado-k1500-lt-ky-lexington-east,78485465,"10,900 USD",03/16/2026 06:00 pm GMT+4,2016,CHEV,SILVERADO,5.3L  8,8,3GCUKREC1GG153429,CERTIFICATE OF TITLE,"190,441 A",ACTUAL,NORMAL WEAR,675 USD,0 USD,0,KY - LEXINGTON EAST,0,N/A,N/A
https://www.copart.com/lot/78440315/salvage-2025-honda-cr-v-ex-ky-lexington-east,78440315,"31,892 USD",03/16/2026 06:00 pm GMT+4,2025,HOND,CR-V,1.5L  4,4,5J6RS4H42SL007768,CERT OF TITLE-SALVAGE,"16,778 A",ACTUAL,VANDALISM,250 USD,0 USD,0,KY - LEXINGTON EAST,0,N/A,N/A
https://www.copart.com/lot/78334425/clean-title-2008-mazda-6-i-ky-lexington-east,78334425,$1 USD,03/16/2026 06:00 pm GMT+4,2008,MAZD,6,2.3L  4,4,1YVHP80C685M05182,CERTIFICATE OF TITLE,"267,075 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,KY - LEXINGTON EAST,0,N/A,N/A
https://www.copart.com/lot/78063795/clean-title-2006-lincoln-mark-lt-ky-lexington-east,78063795,"5,578 USD",03/16/2026 06:00 pm GMT+4,2006,LINC,MARK LT,5.4L  8,8,5LTPW18556FJ12301,CERTIFICATE OF TITLE,"199,436 A",ACTUAL,NORMAL WEAR,0 USD,0 USD,0,KY - LEXINGTON EAST,0,N/A,N/A
