Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99891775/salvage-2019-nissan-sentra-s-ky-louisville,99891775,"10,624 USD",03/16/2026 06:00 pm GMT+4,2019,NISS,SENTRA,1.8L  4,4,3N1AB7AP2KY251701,CERT OF TITLE-SALVAGE,"81,702 A",ACTUAL,FRONT END,500 USD,0 USD,0,KY - LOUISVILLE,0,N/A,N/A
https://www.copart.com/lot/99777375/salvage-2015-honda-odyssey-touring-ky-louisville,99777375,"11,217 USD",03/16/2026 06:00 pm GMT+4,2015,HOND,ODYSSEY,3.5L  6,6,5FNRL5H99FB129069,CERT OF TITLE-SALVAGE,"153,672 A",ACTUAL,FRONT END,0 USD,0 USD,0,KY - LOUISVILLE,0,N/A,N/A
https://www.copart.com/lot/99573525/salvage-2017-nissan-maxima-3-5s-ky-louisville,99573525,"12,003 USD",03/16/2026 06:00 pm GMT+4,2017,NISS,MAXIMA,3.5L  6,6,1N4AA6AP3HC437734,CERT OF TITLE-SALVAGE,"108,155 A",ACTUAL,FRONT END,0 USD,0 USD,0,KY - LOUISVILLE,0,N/A,N/A
https://www.copart.com/lot/99482955/salvage-2016-honda-hr-v-lx-ky-louisville,99482955,"10,783 USD",03/16/2026 06:00 pm GMT+4,2016,HOND,HR-V,1.8L  4,4,3CZRU5H38GM719358,CERT OF TITLE-SALVAGE,"125,513 A",ACTUAL,FRONT END,0 USD,0 USD,0,KY - LOUISVILLE,0,N/A,N/A
https://www.copart.com/lot/99450535/salvage-2016-honda-hr-v-exl-ky-louisville,99450535,"12,097 USD",03/16/2026 06:00 pm GMT+4,2016,HOND,HR-V,1.8L  4,4,3CZRU5H74GM714502,CERT OF TITLE-SALVAGE,"118,352 A",ACTUAL,FRONT END,0 USD,0 USD,0,KY - LOUISVILLE,0,N/A,N/A
https://www.copart.com/lot/99357615/salvage-2014-toyota-camry-l-ky-louisville,99357615,"11,641 USD",03/16/2026 06:00 pm GMT+4,2014,TOYT,CAMRY,2.5L  4,4,4T4BF1FK7ER372538,CERT OF TITLE-SALVAGE,"131,497 A",ACTUAL,SIDE,0 USD,0 USD,0,KY - LOUISVILLE,0,N/A,N/A
https://www.copart.com/lot/99311475/salvage-2021-volkswagen-tiguan-se-ky-louisville,99311475,"16,673 USD",03/16/2026 06:00 pm GMT+4,2021,VOLK,TIGUAN,2.0L  4,4,3VV2B7AX8MM097007,CERT OF TITLE-SALVAGE,"94,853 A",ACTUAL,TOP/ROOF,0 USD,0 USD,0,KY - LOUISVILLE,0,N/A,N/A
https://www.copart.com/lot/99031895/salvage-2011-ford-fusion-se-ky-louisville,99031895,"5,450 USD",03/16/2026 06:00 pm GMT+4,2011,FORD,FUSION,2.5L  4,4,3FAHP0HA8BR120522,CERT OF TITLE-SALVAGE,"89,671 A",ACTUAL,REAR END,0 USD,0 USD,0,KY - LOUISVILLE,0,N/A,N/A
https://www.copart.com/lot/98918625/salvage-2007-toyota-camry-ce-ky-louisville,98918625,"5,726 USD",03/16/2026 06:00 pm GMT+4,2007,TOYT,CAMRY,2.4L  4,4,4T1BE46K87U066871,CERT OF TITLE-SALVAGE,"258,499 A",ACTUAL,FRONT END,0 USD,0 USD,0,KY - LOUISVILLE,0,N/A,N/A
https://www.copart.com/lot/98560185/salvage-2007-gmc-new-sierra-k1500-ky-louisville,98560185,"8,756 USD",03/16/2026 06:00 pm GMT+4,2007,GMC,NEW SIERRA,4.8L  8,8,1GTEK19C27Z611771,CERT OF TITLE-SALVAGE,"173,949 A",ACTUAL,REAR END,0 USD,0 USD,0,KY - LOUISVILLE,0,N/A,N/A
https://www.copart.com/lot/98459045/salvage-2020-ford-ecosport-titanium-ky-louisville,98459045,"12,318 USD",03/16/2026 06:00 pm GMT+4,2020,FORD,ECOSPORT,2.0L  4,4,MAJ6S3KLXLC327981,CERT OF TITLE-SALVAGE,"109,845 A",ACTUAL,FRONT END,0 USD,0 USD,0,KY - LOUISVILLE,0,N/A,N/A
https://www.copart.com/lot/98451865/salvage-2025-nissan-frontier-s-ky-louisville,98451865,"35,226 USD",03/16/2026 06:00 pm GMT+4,2025,NISS,FRONTIER,3.8L  6,6,1N6ED1EK2SN615291,CERT OF TITLE-SALVAGE,"5,720 A",ACTUAL,FRONT END,0 USD,0 USD,0,KY - LOUISVILLE,0,N/A,N/A
