Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99864965/salvage-2003-gmc-sonoma-mo-springfield,99864965,"4,249 USD",03/18/2026 09:00 pm GMT+4,2003,GMC,SONOMA,4.3L 6,6,1GTDT13X93K139981,SALVAGE CERTIFICATE OF TITLE,"256,427 A",ACTUAL,FRONT END,0 USD,0 USD,0,MO - SPRINGFIELD,0,N/A,N/A
https://www.copart.com/lot/99336365/salvage-2015-chevrolet-equinox-ltz-mo-springfield,99336365,"10,110 USD",03/18/2026 09:00 pm GMT+4,2015,CHEV,EQUINOX,2.4L  4,4,2GNALDEK3F1164313,SALVAGE CERTIFICATE OF TITLE,"130,611 A",ACTUAL,FRONT END,0 USD,0 USD,0,MO - SPRINGFIELD,0,N/A,N/A
https://www.copart.com/lot/99335335/salvage-2012-honda-civic-lx-mo-springfield,99335335,"7,923 USD",03/18/2026 09:00 pm GMT+4,2012,HOND,CIVIC,1.8L  4,4,19XFB2F56CE075462,SALVAGE CERTIFICATE OF TITLE,"154,128 A",ACTUAL,REAR END,0 USD,0 USD,0,MO - SPRINGFIELD,0,N/A,N/A
https://www.copart.com/lot/99284455/salvage-2017-niss-sentra-mo-springfield,99284455,"11,942 USD",03/18/2026 09:00 pm GMT+4,2017,NISS,SENTRA,1.8L  4,4,3N1AB7AP2HY262979,SALVAGE CERTIFICATE OF TITLE,"50,592 A",ACTUAL,SIDE,0 USD,0 USD,0,MO - SPRINGFIELD,0,N/A,N/A
https://www.copart.com/lot/99235165/clean-title-2015-bmw-428-xi-mo-springfield,99235165,"11,772 USD",03/18/2026 09:00 pm GMT+4,2015,BMW,428,2.0L  4,4,WBA3N9C51FK246785,CERTIFICATE OF TITLE,"160,603 A",ACTUAL,FRONT END,0 USD,0 USD,0,MO - SPRINGFIELD,0,N/A,N/A
https://www.copart.com/lot/98913495/salvage-2020-lincoln-aviator-black-label-mo-springfield,98913495,"35,305 USD",03/18/2026 09:00 pm GMT+4,2020,LINC,AVIATOR,3.0L  6,6,5LM5J9XC7LGL29273,CERT OF TITLE-SALVAGE,0 N,NOT ACTUAL,ROLLOVER,0 USD,0 USD,0,MO - SPRINGFIELD,0,N/A,N/A
https://www.copart.com/lot/98857415/salvage-2014-jeep-cherokee-limited-mo-springfield,98857415,"7,739 USD",03/18/2026 09:00 pm GMT+4,2014,JEP,CHEROKEE,2.4L  4,4,1C4PJMDB9EW173535,SALVAGE CERTIFICATE OF TITLE,"146,868 A",ACTUAL,FRONT END,0 USD,0 USD,0,MO - SPRINGFIELD,0,N/A,N/A
https://www.copart.com/lot/97761745/salvage-2016-nissan-versa-note-s-mo-springfield,97761745,"3,816 USD",03/18/2026 09:00 pm GMT+4,2016,NISS,VERSA NOTE,1.6L  4,4,3N1CE2CP8GL372981,SALVAGE CERTIFICATE OF TITLE,"186,130 A",ACTUAL,FRONT END,0 USD,0 USD,0,MO - SPRINGFIELD,0,N/A,N/A
https://www.copart.com/lot/96940945/clean-title-2017-gmc-yukon-xl-denali-mo-springfield,96940945,"20,561 USD",03/18/2026 09:00 pm GMT+4,2017,GMC,YUKON XL,6.2L  8,8,1GKS2HKJXHR400201,CERTIFICATE OF TITLE,"147,352 A",ACTUAL,REAR END,0 USD,0 USD,0,MO - SPRINGFIELD,0,N/A,N/A
https://www.copart.com/lot/96005935/clean-title-2016-gmc-terrain-sle-mo-springfield,96005935,"7,831 USD",03/18/2026 09:00 pm GMT+4,2016,GMC,TERRAIN,2.4L  4,4,2GKALMEK9G6303345,CERTIFICATE OF TITLE,"155,211 A",ACTUAL,FRONT END,0 USD,0 USD,0,MO - SPRINGFIELD,0,N/A,N/A
https://www.copart.com/lot/95422995/salvage-2025-kawasaki-ex650-r-mo-springfield,95422995,"8,252 USD",03/18/2026 09:00 pm GMT+4,2025,KAWA,EX650,2,2,ML5EXER18SDAF6492,SALVAGE CERTIFICATE OF TITLE,"2,693 A",ACTUAL,FRONT END,0 USD,0 USD,0,MO - SPRINGFIELD,0,N/A,N/A
https://www.copart.com/lot/94454195/salvage-2014-chevrolet-sonic-lt-mo-springfield,94454195,"6,225 USD",03/18/2026 09:00 pm GMT+4,2014,CHEV,SONIC,1.8L  4,4,1G1JC6SH0E4225478,SALVAGE CERTIFICATE OF TITLE,"69,591 A",ACTUAL,SIDE,0 USD,0 USD,0,MO - SPRINGFIELD,0,N/A,N/A
https://www.copart.com/lot/94388925/salvage-2018-jeep-renegade-limited-mo-springfield,94388925,"14,658 USD",03/18/2026 09:00 pm GMT+4,2018,JEP,RENEGADE,2.4L  4,4,ZACCJBDB1JPG75465,CERT OF TITLE-SALVAGE,"135,276 A",ACTUAL,FRONT END,0 USD,0 USD,0,MO - SPRINGFIELD,0,N/A,N/A
https://www.copart.com/lot/94341135/salvage-2020-hyundai-santa-fe-sel-mo-springfield,94341135,"18,455 USD",03/18/2026 09:00 pm GMT+4,2020,HYUN,SANTA FE,2.0L  4,4,5NMS3CAA9LH254383,SALVAGE CERTIFICATE OF TITLE,"67,305 A",ACTUAL,FRONT END,0 USD,0 USD,0,MO - SPRINGFIELD,0,N/A,N/A
https://www.copart.com/lot/94332215/salvage-2022-ford-edge-titanium-mo-springfield,94332215,"19,676 USD",03/18/2026 09:00 pm GMT+4,2022,FORD,EDGE,2.0L  4,4,2FMPK4K93NBA39968,SALVAGE CERTIFICATE OF TITLE,"86,481 A",ACTUAL,FRONT END,0 USD,0 USD,0,MO - SPRINGFIELD,0,N/A,N/A
https://www.copart.com/lot/93667375/salvage-2021-volkswagen-atlas-se-mo-springfield,93667375,"20,166 USD",03/18/2026 09:00 pm GMT+4,2021,VOLK,ATLAS,3.6L  6,6,1V2WR2CA4MC565998,SALVAGE CERTIFICATE OF TITLE,"107,449 A",ACTUAL,FRONT END,0 USD,0 USD,0,MO - SPRINGFIELD,0,N/A,N/A
https://www.copart.com/lot/93516725/salvage-2015-hyundai-sonata-se-mo-springfield,93516725,"5,286 USD",03/18/2026 09:00 pm GMT+4,2015,HYUN,SONATA,2.4L  4,4,5NPE24AF1FH139480,SALVAGE CERTIFICATE OF TITLE,"188,818 A",ACTUAL,VANDALISM,0 USD,0 USD,0,MO - SPRINGFIELD,0,N/A,N/A
https://www.copart.com/lot/91476015/salvage-2017-jeep-grand-cherokee-trailhawk-mo-springfield,91476015,"13,900 USD",03/18/2026 09:00 pm GMT+4,2017,JEP,GRAND CHEROKEE,3.6L 6,6,1C4RJFLG8HC768352,SALVAGE CERTIFICATE OF TITLE,"132,121 A",ACTUAL,REAR END,0 USD,0 USD,0,MO - SPRINGFIELD,0,N/A,N/A
https://www.copart.com/lot/80377265/salvage-2012-ford-flex-sel-mo-springfield,80377265,"4,935 USD",03/18/2026 09:00 pm GMT+4,2012,FORD,FLEX SEL,3.5L  6,6,2FMGK5CC7CBD21205,SALVAGE CERTIFICATE OF TITLE,"237,765 A",ACTUAL,FRONT END,0 USD,0 USD,0,MO - SPRINGFIELD,0,N/A,N/A
https://www.copart.com/lot/78799595/salvage-2006-ford-f250-super-duty-mo-springfield,78799595,"11,590 USD",03/18/2026 09:00 pm GMT+4,2006,FORD,F250,6.0L 8,8,1FTSX21P96EB78982,SALVAGE CERTIFICATE OF TITLE,"198,016 E",EXEMPT,FRONT END,0 USD,0 USD,0,MO - SPRINGFIELD,0,N/A,N/A
https://www.copart.com/lot/78792115/salvage-2014-ford-escape-se-mo-springfield,78792115,"5,102 USD",03/18/2026 09:00 pm GMT+4,2014,FORD,ESCAPE,1.6L 4,4,1FMCU0GX2EUC02337,SALVAGE CERTIFICATE OF TITLE,"190,190 A",ACTUAL,FRONT END,0 USD,0 USD,0,MO - SPRINGFIELD,0,N/A,N/A
https://www.copart.com/lot/78723025/salvage-2013-ram-1500-st-mo-springfield,78723025,"11,407 USD",03/18/2026 09:00 pm GMT+4,2013,RAM,1500,5.7L 8,8,1C6RR7KT8DS561710,SALVAGE CERTIFICATE OF TITLE,"175,276 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,MO - SPRINGFIELD,0,N/A,N/A
https://www.copart.com/lot/78582455/salvage-2017-toyota-prius-four-mo-springfield,78582455,"10,153 USD",03/18/2026 09:00 pm GMT+4,2017,TOYT,PRIUS,1.8L 4,4,JTDKARFUXH3032100,SALVAGE CERTIFICATE OF TITLE,"204,599 A",ACTUAL,SIDE,0 USD,0 USD,0,MO - SPRINGFIELD,0,N/A,N/A
https://www.copart.com/lot/78337905/salvage-2002-toyota-corolla-le-mo-springfield,78337905,"3,696 USD",03/18/2026 09:00 pm GMT+4,2002,TOYT,COROLLA,1.8L  4,4,1NXBR12E62Z584313,SALVAGE CERTIFICATE OF TITLE,"249,073 E",EXEMPT,FRONT END,0 USD,0 USD,0,MO - SPRINGFIELD,0,N/A,N/A
https://www.copart.com/lot/78296475/salvage-1998-ford-crown-victoria-police-interceptor-mo-springfield,78296475,"3,888 USD",03/18/2026 09:00 pm GMT+4,1998,FORD,CROWN VICTORIA,4.6L 8,8,2FAFP71W0WX157951,SALVAGE CERTIFICATE OF TITLE,"148,732 A",ACTUAL,FRONT END,0 USD,0 USD,0,MO - SPRINGFIELD,0,N/A,N/A
https://www.copart.com/lot/78166135/salvage-2014-keystone-sprinter-camper-mo-springfield,78166135,"16,116 USD",03/18/2026 09:00 pm GMT+4,2014,SPRI,KEYSTONE,,,4YDT30225E1531857,SALVAGE CERTIFICATE OF TITLE,0 N,NOT ACTUAL,MECHANICAL,0 USD,0 USD,0,MO - SPRINGFIELD,0,N/A,N/A
https://www.copart.com/lot/77950695/salvage-2014-toyota-corolla-s-plus-mo-springfield,77950695,"10,972 USD",03/18/2026 09:00 pm GMT+4,2014,TOYT,COROLLA,1.8L 4,4,5YFBURHE9EP176088,SALVAGE CERTIFICATE OF TITLE,"116,376 A",ACTUAL,REAR END,0 USD,0 USD,0,MO - SPRINGFIELD,0,N/A,N/A
https://www.copart.com/lot/77925045/salvage-2010-honda-civic-lx-mo-springfield,77925045,"2,010 USD",03/18/2026 09:00 pm GMT+4,2010,HOND,CIVIC,1.8L  4,4,19XFA1F50AE038692,SALVAGE CERTIFICATE OF TITLE,"242,987 E",EXEMPT,FRONT END,0 USD,0 USD,0,MO - SPRINGFIELD,0,N/A,N/A
https://www.copart.com/lot/77823275/2012-ford-f150-supercrew-mo-springfield,77823275,"8,070 USD",03/18/2026 09:00 pm GMT+4,2012,FORD,F150,5.0L 8,8,1FTFW1EF8CFA35706,JUNKING CERTIFICATE,"221,442 A",ACTUAL,FRONT END,0 USD,0 USD,0,MO - SPRINGFIELD,0,N/A,N/A
https://www.copart.com/lot/77753175/salvage-2022-toyota-corolla-le-mo-springfield,77753175,"16,907 USD",03/18/2026 09:00 pm GMT+4,2022,TOYT,COROLLA,1.8L  4,4,JTDEPMAE5N3020351,SALVAGE CERTIFICATE OF TITLE,"67,265 A",ACTUAL,FRONT END,0 USD,0 USD,0,MO - SPRINGFIELD,0,N/A,N/A
https://www.copart.com/lot/77664855/salvage-2007-honda-civic-ex-mo-springfield,77664855,"6,970 USD",03/18/2026 09:00 pm GMT+4,2007,HOND,CIVIC,1.8L 4,4,2HGFG12807H575737,SALVAGE CERTIFICATE OF TITLE,"66,802 A",ACTUAL,FRONT END,100 USD,0 USD,0,MO - SPRINGFIELD,0,N/A,N/A
