Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99726395/clean-title-2021-ford-transit-delivery-truck-tn-memphis,99726395,"26,020 USD",03/16/2026 08:00 pm GMT+4,2021,FORD,TRANSIT,3.5L 6,6,1FDDF6P81MKA56209,CERTIFICATE OF TITLE,"64,151 A",ACTUAL,NORMAL WEAR,0 USD,0 USD,0,TN - MEMPHIS,3,N/A,N/A
https://www.copart.com/lot/99521705/clean-title-2015-ford-transit-connect-xl-fl-orlando-north,99521705,"10,340 USD",03/16/2026 08:00 pm GMT+4,2015,FORD,TRANSIT CONNECT,2.5L  4,4,NM0LS7E74F1187121,CERTIFICATE OF TITLE,"183,314 A",ACTUAL,REAR END,0 USD,0 USD,0,FL - ORLANDO NORTH,0,N/A,N/A
https://www.copart.com/lot/99446895/clean-title-2013-chevrolet-express-g2500-tn-memphis,99446895,$1 USD,03/16/2026 08:00 pm GMT+4,2013,CHEV,EXPRESS G2500,4.8L  8,8,1GCWGFCA8D1902960,CERTIFICATE OF TITLE,"157,599 A",ACTUAL,NORMAL WEAR,0 USD,0 USD,0,TN - MEMPHIS,3.2,N/A,"Other,Emission"
https://www.copart.com/lot/99437275/clean-title-2013-chevrolet-express-g2500-tx-lufkin,99437275,$1 USD,03/16/2026 08:00 pm GMT+4,2013,CHEV,EXPRESS G2500,4.8L  8,8,1GCWGFCA1D1904159,CERTIFICATE OF TITLE,"198,739 A",ACTUAL,FRONT END,0 USD,0 USD,0,TX - LUFKIN,2.7,N/A,"Other,Emission"
https://www.copart.com/lot/99312635/clean-title-2017-ford-transit-delivery-van-mi-wayland,99312635,"18,962 USD",03/16/2026 08:00 pm GMT+4,2017,FORD,TRANSIT,3.7L  6,6,1FBZX2CM4HKA85605,CERTIFICATE OF TITLE,"141,650 A",ACTUAL,REAR END,0 USD,0 USD,0,MI - WAYLAND,0,N/A,N/A
https://www.copart.com/lot/98778755/clean-title-2018-ford-transit-t-350-pa-pittsburgh-south,98778755,$1 USD,03/16/2026 08:00 pm GMT+4,2018,FORD,TRANSIT,3.7L  6,6,1FBZX2CM9JKB06650,CERT OF TITLE,"41,388 A",ACTUAL,MINOR DENT/SCRATCHES,175 USD,0 USD,0,PA - PITTSBURGH SOUTH,0,N/A,N/A
https://www.copart.com/lot/98428765/clean-title-2013-ford-transit-connect-tx-san-antonio,98428765,$1 USD,03/16/2026 08:00 pm GMT+4,2013,FORD,TRANSIT CONNECT,2.0L  4,4,NM0LS7AN9DT140866,CERTIFICATE OF TITLE,"79,253 A",ACTUAL,MECHANICAL,0 USD,0 USD,0,TX - SAN ANTONIO,2.8,N/A,"Maintenance,Safety,Other"
https://www.copart.com/lot/98408255/clean-title-2013-chevrolet-silverado-k2500-heavy-duty-mi-flint,98408255,"10,100 USD",03/16/2026 08:00 pm GMT+4,2013,CHEV,SILVERADO,6.0L  8,8,1GC2KVCG2DZ138956,CERTIFICATE OF TITLE,0 N,NOT ACTUAL,ROLLOVER,0 USD,0 USD,0,MI - FLINT,0,N/A,N/A
https://www.copart.com/lot/98014585/clean-title-2018-nissan-nv-1500-s-dc-washington-dc,98014585,$1 USD,03/16/2026 08:00 pm GMT+4,2018,NISS,NV,4.0L  6,6,1N6BF0KY7JN801018,CERTIFICATE OF TITLE,"210,418 A",ACTUAL,MINOR DENT/SCRATCHES,225 USD,0 USD,0,DC - WASHINGTON DC,0,N/A,N/A
https://www.copart.com/lot/97677715/clean-title-2019-isuzu-npr-box-truck-fl-jacksonville-north,97677715,$1 USD,03/16/2026 08:00 pm GMT+4,2019,ISU,NPR,6.0L 8,8,54DB4W1B6KS810042,CERTIFICATE OF TITLE,"142,015 A",ACTUAL,FRONT END,0 USD,0 USD,0,FL - JACKSONVILLE NORTH,3.4,N/A,Emission
https://www.copart.com/lot/97507915/clean-title-2015-nissan-nv200-2-5s-ma-north-boston,97507915,"5,238 USD",03/16/2026 08:00 pm GMT+4,2015,NISS,NV200,2.0L  4,4,3N6CM0KNXFK705347,CERT OF TITLE-RECONSTRCTD COLL,"193,077 A",ACTUAL,FRONT END,0 USD,0 USD,0,MA - NORTH BOSTON,0,N/A,N/A
https://www.copart.com/lot/97420075/clean-title-2017-ford-f650-super-duty-box-truck-de-seaford,97420075,"15,000 USD",03/16/2026 08:00 pm GMT+4,2017,FORD,F650,6.8L 10,10,1FDNF6AY4HDB09721,CERTIFICATE OF TITLE,"148,013 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,DE - SEAFORD,3.1,N/A,N/A
https://www.copart.com/lot/96352645/clean-title-2019-ford-transit-250-delivery-van-mi-flint,96352645,"14,687 USD",03/16/2026 08:00 pm GMT+4,2019,FORD,TRANSIT,3.5L  6,6,1FTYR2CG3KKB45800,CERTIFICATE OF TITLE,"176,031 A",ACTUAL,ROLLOVER,0 USD,0 USD,0,MI - FLINT,0,N/A,N/A
https://www.copart.com/lot/96147265/clean-title-2017-ram-promaster-city-co-denver-south,96147265,"10,306 USD",03/16/2026 08:00 pm GMT+4,2017,RAM,PROMASTER CITY,2.4L  4,4,ZFBERFAB7H6E33358,DIS/DLR/EXP ONLY CLEAN TITLE,"101,874 A",ACTUAL,FRONT END,275 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/96067465/clean-title-2018-mercedes-benz-sprinter-2500-delivery-van-ma-west-warren,96067465,$1 USD,03/16/2026 08:00 pm GMT+4,2018,MERZ,SPRINTER 2,3.0L  6,6,WD3PE7CD5JP642613,CERTIFICATE OF TITLE (P),"144,978 A",ACTUAL,MECHANICAL,0 USD,0 USD,0,MA - WEST WARREN,0,N/A,N/A
https://www.copart.com/lot/94915235/clean-title-2008-ford-f150-utility-service-truck-mo-st-louis,94915235,$1 USD,03/16/2026 08:00 pm GMT+4,2008,FORD,F150,4.2L  6,6,1FTRF12218KC88007,CERTIFICATE OF TITLE,0 E,EXEMPT,MECHANICAL,0 USD,0 USD,0,MO - ST. LOUIS,2.5,N/A,N/A
https://www.copart.com/lot/94875645/clean-title-2008-dodge-ram-3500-mi-flint,94875645,"15,295 USD",03/16/2026 08:00 pm GMT+4,2008,DODG,RAM 3500,6.7L  6,6,3D7MX49A28G104289,CERTIFICATE OF TITLE,"326,793 E",EXEMPT,FRONT END,0 USD,0 USD,0,MI - FLINT,0,N/A,N/A
https://www.copart.com/lot/94453815/clean-title-2008-ford-f350-utility-service-truck-tx-el-paso,94453815,$1 USD,03/16/2026 08:00 pm GMT+4,2008,FORD,F350,5.4L  8,8,1FDSF30538EC32641,CERTIFICATE OF TITLE,"85,461 A",ACTUAL,REAR END,0 USD,0 USD,0,TX - EL PASO,2.6,N/A,Emission
https://www.copart.com/lot/94032825/clean-title-2016-chevrolet-express-g2500-va-richmond,94032825,"16,213 USD",03/16/2026 08:00 pm GMT+4,2016,CHEV,EXPRESS G2500,4.8L  8,8,1GCWGAFFXG1133358,CERTIFICATE OF TITLE,"173,109 A",ACTUAL,FRONT END,0 USD,0 USD,0,VA - RICHMOND,0,N/A,N/A
https://www.copart.com/lot/93711525/clean-title-2013-ford-transit-connect-utility-service-van-ca-napa,93711525,$1 USD,03/16/2026 08:00 pm GMT+4,2013,FORD,TRANSIT CONNECT,2.0L  4,4,NM0LS7BN3DT134897,DIS/DLR/EXP ONLY CLEAN TITLE,"62,349 A",ACTUAL,MINOR DENT/SCRATCHES,15 USD,0 USD,0,CA - NAPA,4.4,N/A,"Maintenance,Safety,Other"
https://www.copart.com/lot/93711235/clean-title-2013-ford-transit-connect-delivery-van-tx-el-paso,93711235,$1 USD,03/16/2026 08:00 pm GMT+4,2013,FORD,TRANSIT CONNECT,2.0L  4,4,NM0LS6AN9DT128212,CERTIFICATE OF TITLE,"78,849 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,TX - EL PASO,2.8,N/A,"Maintenance,Safety,Other"
https://www.copart.com/lot/93263475/clean-title-2008-ford-f350-4x2-srw-splice-truck-la-baton-rouge,93263475,$1 USD,03/16/2026 08:00 pm GMT+4,2008,FORD,F350 4X2 SRW SPLICE TRUCK,5.4L  8,8,1FDWF30518EC94265,CERTIFICATE OF TITLE,"126,170 A",ACTUAL,MINOR DENT/SCRATCHES,10 USD,0 USD,0,LA - BATON ROUGE,2.8,N/A,N/A
https://www.copart.com/lot/93131095/clean-title-2013-ford-e350-box-truck-tx-ft-worth,93131095,$1 USD,03/16/2026 08:00 pm GMT+4,2013,FORD,ECONOLINE,5.4L  8,8,1FDWE3FL4DDB36964,CERTIFICATE OF TITLE,"207,697 A",ACTUAL,NORMAL WEAR,0 USD,0 USD,0,TX - FT. WORTH,4,N/A,N/A
https://www.copart.com/lot/89889295/clean-title-2008-ford-f350-super-duty-utility-service-truck-tx-ft-worth,89889295,$1 USD,03/16/2026 08:00 pm GMT+4,2008,FORD,F350,5.4L  8,8,1FDSF30568EC32827,CERTIFICATE OF TITLE,"236,074 E",EXEMPT,NORMAL WEAR,0 USD,0 USD,0,TX - FT. WORTH,3.3,N/A,N/A
https://www.copart.com/lot/89697005/clean-title-2012-ford-f750-box-truck-ny-syracuse,89697005,"34,888 USD",03/16/2026 08:00 pm GMT+4,2012,FORD,F750,6.7L  6,6,3FRNF7FA8CV187158,CERTIFICATE OF TITLE,"170,910 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,NY - SYRACUSE,0,N/A,N/A
https://www.copart.com/lot/89493745/clean-title-2012-ford-transit-connect-utility-service-van-fl-miami-central,89493745,$1 USD,03/16/2026 08:00 pm GMT+4,2012,FORD,TRANSIT CONNECT,2.0L  4,4,NM0LS7AN0CT098909,CERTIFICATE OF TITLE,"58,835 A",ACTUAL,MECHANICAL,0 USD,0 USD,0,FL - MIAMI CENTRAL,3.3,N/A,N/A
https://www.copart.com/lot/88063055/clean-title-2015-ford-f450-super-duty-mi-detroit,88063055,$1 USD,03/16/2026 08:00 pm GMT+4,2015,FORD,F450,6.8L 10,10,1FDUF4GY0FEA16967,CERTIFICATE OF TITLE,0 N,NOT ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,MI - DETROIT,0,N/A,N/A
https://www.copart.com/lot/87429685/clean-title-2013-chevrolet-express-utility-service-van-ok-oklahoma-city,87429685,$1 USD,03/16/2026 08:00 pm GMT+4,2013,CHEV,EXPRESS G2500,4.8L  8,8,1GCWGFCA5D1903337,CERTIFICATE OF TITLE,"203,439 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,OK - OKLAHOMA CITY,3.8,N/A,N/A
