Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99885815/salvage-2006-chevrolet-express-g2500-ga-augusta,99885815,"3,175 USD",03/18/2026 08:00 pm GMT+4,2006,CHEV,EXPRESS G2500,4.8L  8,8,1GCGG25V861172046,CERT OF TITLE-SALVAGE,0 E,EXEMPT,FRONT END,0 USD,0 USD,0,GA - AUGUSTA,0,N/A,N/A
https://www.copart.com/lot/99774335/salvage-2019-ford-f550-super-duty-pa-york-haven,99774335,"74,267 USD",03/18/2026 08:00 pm GMT+4,2019,FORD,F550,6.7L  8,8,1FDUF5HT3KDA07690,CERTIFICATE OF SALVAGE,"226,814 A",ACTUAL,SIDE,0 USD,0 USD,0,PA - YORK HAVEN,0,N/A,N/A
https://www.copart.com/lot/99682585/salvage-2021-ford-transit-t-350-ut-ogden,99682585,"27,920 USD",03/18/2026 08:00 pm GMT+4,2021,FORD,TRANSIT VA,3.5L  6,6,1FBAX2YG7MKA65536,SALVAGE CERTIFICATE,"110,470 A",ACTUAL,FRONT END,0 USD,0 USD,0,UT - OGDEN,0,N/A,N/A
https://www.copart.com/lot/99646855/salvage-2011-ford-econoline-e350-super-duty-cutaway-van-mn-st-cloud,99646855,"9,265 USD",03/18/2026 08:00 pm GMT+4,2011,FORD,ECONOLINE,5.4L  8,8,1FDSE3FLXBDB35359,CERT OF TITLE-SALVAGE,"210,597 A",ACTUAL,REAR END,300 USD,0 USD,0,MN - ST. CLOUD,0,N/A,N/A
https://www.copart.com/lot/99564205/salvage-2004-ford-f350-srw-super-duty-mn-minneapolis,99564205,"7,284 USD",03/18/2026 08:00 pm GMT+4,2004,FORD,F350,6.0L  8,8,1FTSW31P44ED16059,CERT OF TITLE-PRIOR SALVAGE,"302,093 E",EXEMPT,FRONT END,0 USD,0 USD,0,MN - MINNEAPOLIS,0,N/A,N/A
https://www.copart.com/lot/99473305/salvage-2008-freightliner-business-class-m2-box-truck-il-chicago-north,99473305,"7,000 USD",03/18/2026 08:00 pm GMT+4,2008,FRHT,M2,6.7L  6,6,1FVACWDT98HZ52175,SALVAGE CERTIFICATE,0 E,EXEMPT,ALL OVER,0 USD,0 USD,0,IL - CHICAGO NORTH,0,N/A,N/A
https://www.copart.com/lot/99338455/salvage-2022-ford-transit-t-250-ia-cedar-rapids,99338455,"34,802 USD",03/18/2026 08:00 pm GMT+4,2022,FORD,TRANSIT,3.5L  6,6,1FTBR3X89NKA70006,CERT OF TITLE-SALVAGE TITLE,"65,109 A",ACTUAL,REAR END,0 USD,0 USD,0,IA - CEDAR RAPIDS,0,N/A,N/A
https://www.copart.com/lot/99323945/salvage-2004-chevrolet-express-2500-delivery-van-in-cicero,99323945,"5,754 USD",03/18/2026 08:00 pm GMT+4,2004,CHEV,EXPRESS G2,4.3L  6,6,1GCFG29X341125463,CERT OF TITLE-SALVAGE TITLE,"191,097 E",EXEMPT,FRONT END,0 USD,0 USD,0,IN - CICERO,0,N/A,N/A
https://www.copart.com/lot/99301425/salvage-2022-ram-promaster-1500-1500-high-mt-helena,99301425,"23,492 USD",03/18/2026 08:00 pm GMT+4,2022,RAM,PROMASTER 1500,3.6L  6,6,3C6LRVBG4NE102255,SALVAGE CERTIFICATE OF TITLE,"73,338 A",ACTUAL,FRONT END,0 USD,0 USD,0,MT - HELENA,0,N/A,N/A
https://www.copart.com/lot/99266095/salvage-2022-gmc-savana-cutaway-g3500-pa-york-haven,99266095,"42,714 USD",03/18/2026 08:00 pm GMT+4,2022,GMC,SAVANA,6.6L  8,8,7GZ37TC77NN001498,CERTIFICATE OF SALVAGE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,PA - YORK HAVEN,0,N/A,N/A
https://www.copart.com/lot/99231395/salvage-2015-ford-transit-connect-delivery-van-il-chicago-north,99231395,"8,386 USD",03/18/2026 08:00 pm GMT+4,2015,FORD,TRANSIT CO,2.5L  4,4,NM0LS7E78F1223473,SALVAGE CERTIFICATE,"149,799 A",ACTUAL,REAR END,0 USD,0 USD,0,IL - CHICAGO NORTH,0,N/A,N/A
https://www.copart.com/lot/99120965/salvage-2024-ford-transit-t-350-pa-altoona,99120965,"101,558 USD",03/18/2026 08:00 pm GMT+4,2024,FORD,TRANSIT,3.5L  6,6,1FDBW2XGXRKB48305,CERTIFICATE OF SALVAGE,"8,255 A",ACTUAL,FRONT END,0 USD,0 USD,0,PA - ALTOONA,0,N/A,N/A
https://www.copart.com/lot/99059315/salvage-2019-chevrolet-express-delivery-van-ma-west-warren,99059315,"15,574 USD",03/18/2026 08:00 pm GMT+4,2019,CHEV,EXPRESS,6.0L  8,8,1GB0GRFG7K1206258,CERT OF TITLE-SALVAGE,"427,394 A",ACTUAL,FRONT END,0 USD,0 USD,0,MA - WEST WARREN,0,N/A,N/A
https://www.copart.com/lot/98817905/salvage-2020-ford-transit-t-250-delivery-van-pa-philadelphia,98817905,"24,825 USD",03/18/2026 08:00 pm GMT+4,2020,FORD,TRANSIT T-,3.5L  6,6,1FTBR2X83LKB70268,CERTIFICATE OF SALVAGE,"104,173 A",ACTUAL,REAR END,0 USD,0 USD,0,PA - PHILADELPHIA,0,N/A,N/A
https://www.copart.com/lot/98814335/salvage-2012-mercedes-benz-sprinter-3500-delivery-van-ri-exeter,98814335,"23,255 USD",03/18/2026 08:00 pm GMT+4,2012,MERZ,SPRINTER 3,3.0L  6,6,WD3PF3CC0C5633121,SALVAGE CERTIFICATE OF TITLE,"139,786 A",ACTUAL,FRONT END,0 USD,0 USD,0,RI - EXETER,0,N/A,N/A
https://www.copart.com/lot/98782315/salvage-2003-chevrolet-silverado-ga-augusta,98782315,"4,484 USD",03/18/2026 08:00 pm GMT+4,2003,CHEV,SILVERADO,6.0L  8,8,1GCHC24U43E128980,CERT OF TITLE-SALVAGE,"376,037 A",ACTUAL,ALL OVER,0 USD,0 USD,0,GA - AUGUSTA,0,N/A,N/A
https://www.copart.com/lot/98739125/salvage-2019-othe-f350-4x4-crew-cab-x-co-denver-south,98739125,"35,750 USD",03/18/2026 08:00 pm GMT+4,2019,FORD,F350 4X4 CREW CAB X,6.7L  8,8,1FT8W3DT0KEE03828,DIS/DLR/EXP ONLY SALVAGE TITLE,"190,137 A",ACTUAL,FRONT END,0 USD,0 USD,0,CO - DENVER SOUTH,0,N/A,N/A
https://www.copart.com/lot/98707795/salvage-2011-dodge-ram-3500-tx-waco,98707795,"14,196 USD",03/18/2026 08:00 pm GMT+4,2011,DODG,RAM 3500,6.7L  6,6,3D73Y4CL0BG604123,SALVAGE VEHICLE TITLE,"231,081 A",ACTUAL,MECHANICAL,0 USD,0 USD,0,TX - WACO,0,N/A,N/A
