Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/98363925/salvage-2017-subaru-brz-2-0-premium-ny-albany,98363925,"15,704 USD",03/16/2026 06:00 pm GMT+4,2017,SUBA,BRZ,2.0L  4,4,JF1ZCAB13H9602365,MV-907A SALVAGE CERTIFICATE,"117,329 A",ACTUAL,SIDE,0 USD,0 USD,0,NY - ALBANY,0,N/A,N/A
https://www.copart.com/lot/97387935/salvage-2024-volkswagen-jetta-40th-anniversary-ny-albany,97387935,"24,238 USD",03/16/2026 06:00 pm GMT+4,2024,VOLK,JETTA,2.0L  4,4,3VW8T7BU9RM015042,MV-907A SALVAGE CERTIFICATE,"19,534 A",ACTUAL,REAR END,0 USD,0 USD,0,NY - ALBANY,0,N/A,N/A
https://www.copart.com/lot/96731605/salvage-2025-kia-k5-gt-line-ny-albany,96731605,"25,348 USD",03/16/2026 06:00 pm GMT+4,2025,KIA,K5,2.5L  4,4,KNAG64J75S5309496,MV-907A SALVAGE CERTIFICATE,"18,571 A",ACTUAL,SIDE,0 USD,0 USD,0,NY - ALBANY,0,N/A,N/A
https://www.copart.com/lot/96225985/salvage-2020-acura-mdx-technology-ny-albany,96225985,"28,650 USD",03/16/2026 06:00 pm GMT+4,2020,ACUR,MDX,3.5L  6,6,5J8YD4H58LL053161,MV-907A SALVAGE CERTIFICATE,"43,174 A",ACTUAL,TOP/ROOF,225 USD,0 USD,0,NY - ALBANY,0,N/A,N/A
https://www.copart.com/lot/86555415/salvage-2019-honda-civic-lx-ny-albany,86555415,"14,482 USD",03/16/2026 06:00 pm GMT+4,2019,HOND,CIVIC,1.5L  4,4,SHHFK7H30KU415110,MV-907A SALVAGE CERTIFICATE,"83,826 A",ACTUAL,FRONT END,0 USD,0 USD,0,NY - ALBANY,0,N/A,N/A
https://www.copart.com/lot/79973045/clean-title-2009-toyota-yaris-ny-albany,79973045,"4,578 USD",03/16/2026 06:00 pm GMT+4,2009,TOYT,YARIS,1.5L 4,4,JTDBT903X91346014,CERTIFICATE OF TITLE,"146,230 E",EXEMPT,REAR END,0 USD,0 USD,0,NY - ALBANY,0,N/A,N/A
https://www.copart.com/lot/79895165/salvage-2017-toyota-corolla-im-base-ny-albany,79895165,"16,000 USD",03/16/2026 06:00 pm GMT+4,2017,TOYT,COROLLA IM,1.8L 4,4,JTNKARJE0HJ533648,MV-907A SALVAGE CERTIFICATE,"84,775 A",ACTUAL,FRONT END,0 USD,0 USD,0,NY - ALBANY,0,N/A,N/A
https://www.copart.com/lot/79717295/salvage-2020-mercedes-benz-gle-350-4matic-ny-albany,79717295,"32,750 USD",03/16/2026 06:00 pm GMT+4,2020,MERZ,GLE,2.0L 4,4,4JGFB4KE9LA161493,MV-907A SALVAGE CERTIFICATE,"59,312 A",ACTUAL,REAR END,0 USD,0 USD,0,NY - ALBANY,0,N/A,N/A
https://www.copart.com/lot/79600645/salvage-2014-ford-escape-se-ny-albany,79600645,"6,804 USD",03/16/2026 06:00 pm GMT+4,2014,FORD,ESCAPE,2.0L 4,4,1FMCU9G95EUD59463,MV-907A SALVAGE CERTIFICATE,"112,716 A",ACTUAL,SIDE,0 USD,0 USD,0,NY - ALBANY,0,N/A,N/A
https://www.copart.com/lot/79564735/salvage-2018-toyota-rav4-le-ny-albany,79564735,"17,526 USD",03/16/2026 06:00 pm GMT+4,2018,TOYT,RAV4,2.5L 4,4,JTMBFREV0JJ728283,MV-907A SALVAGE CERTIFICATE,"57,239 A",ACTUAL,REAR END,200 USD,0 USD,0,NY - ALBANY,0,N/A,N/A
https://www.copart.com/lot/79564175/salvage-2019-honda-hr-v-lx-ny-albany,79564175,"18,461 USD",03/16/2026 06:00 pm GMT+4,2019,HOND,HR-V,1.8L 4,4,3CZRU6H36KG721963,MV-907A SALVAGE CERTIFICATE,"48,565 A",ACTUAL,FRONT END,0 USD,0 USD,0,NY - ALBANY,0,N/A,N/A
https://www.copart.com/lot/79458565/salvage-2023-jeep-wagoneer-series-ii-ny-albany,79458565,"41,054 USD",03/16/2026 06:00 pm GMT+4,2023,JEP,WAGONEER,3.0L 6,6,1C4SJVBP3PS515781,MV-907A SALVAGE CERTIFICATE,"62,892 A",ACTUAL,SIDE,0 USD,0 USD,0,NY - ALBANY,0,N/A,N/A
https://www.copart.com/lot/79246395/salvage-2020-chevrolet-silverado-k1500-high-country-ny-albany,79246395,"27,824 USD",03/16/2026 06:00 pm GMT+4,2020,CHEV,SILVERADO,5.3L 8,8,3GCUYHED0LG432298,MV-907A SALVAGE CERTIFICATE,"100,368 A",ACTUAL,SIDE,0 USD,0 USD,0,NY - ALBANY,0,N/A,N/A
https://www.copart.com/lot/78973905/salvage-2023-subaru-crosstrek-premium-ny-albany,78973905,"20,589 USD",03/16/2026 06:00 pm GMT+4,2023,SUBA,CROSSTREK,2.0L 4,4,JF2GTAEC1PH255610,MV-907A SALVAGE CERTIFICATE,"71,038 A",ACTUAL,FRONT END,0 USD,0 USD,0,NY - ALBANY,0,N/A,N/A
https://www.copart.com/lot/78906615/salvage-2019-honda-cr-v-ex-ny-albany,78906615,"20,385 USD",03/16/2026 06:00 pm GMT+4,2019,HOND,CR-V,1.5L 4,4,2HKRW2H55KH605056,MV-907A SALVAGE CERTIFICATE,"62,046 A",ACTUAL,REAR END,0 USD,0 USD,0,NY - ALBANY,0,N/A,N/A
https://www.copart.com/lot/78525745/salvage-2022-mazda-3-preferred-ny-albany,78525745,"18,834 USD",03/16/2026 06:00 pm GMT+4,2022,MAZD,3,2.5L 4,4,JM1BPALL3N1519707,MV-907A SALVAGE CERTIFICATE,"97,934 A",ACTUAL,FRONT END,0 USD,0 USD,0,NY - ALBANY,0,N/A,N/A
https://www.copart.com/lot/78090545/salvage-2021-honda-pilot-se-ny-albany,78090545,"27,166 USD",03/16/2026 06:00 pm GMT+4,2021,HOND,PILOT,3.5L 6,6,5FNYF6H27MB050069,MV-907A SALVAGE CERTIFICATE,"41,198 A",ACTUAL,REAR END,0 USD,0 USD,0,NY - ALBANY,0,N/A,N/A
https://www.copart.com/lot/77939555/salvage-2019-honda-cr-v-ex-ny-albany,77939555,"21,082 USD",03/16/2026 06:00 pm GMT+4,2019,HOND,CR-V,1.5L 4,4,2HKRW2H56KH662866,MV-907A SALVAGE CERTIFICATE,"42,952 A",ACTUAL,FRONT END,0 USD,0 USD,0,NY - ALBANY,0,N/A,N/A
