Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99457645/salvage-2014-chevrolet-silverado-k1500-lt-ny-buffalo,99457645,"13,342 USD",03/16/2026 06:00 pm GMT+4,2014,CHEV,SILVERADO,5.3L  8,8,3GCUKREC9EG488712,CERTIFICATE OF SALVAGE,"131,618 X",EXCEEDS MECHANICAL LIMITS,SIDE,0 USD,0 USD,0,NY - BUFFALO,0,N/A,N/A
https://www.copart.com/lot/99315875/salvage-2017-lincoln-mkc-select-ny-buffalo,99315875,"14,511 USD",03/16/2026 06:00 pm GMT+4,2017,LINC,MKC,2.0L  4,4,5LMCJ2C94HUL68436,MV-907A SALVAGE CERTIFICATE,0 N,NOT ACTUAL,SIDE,0 USD,0 USD,0,NY - BUFFALO,0,N/A,N/A
https://www.copart.com/lot/98823465/clean-title-2016-ford-escape-titanium-ny-buffalo,98823465,"9,858 USD",03/16/2026 06:00 pm GMT+4,2016,FORD,ESCAPE,1.6L  4,4,1FMCU9JX8GUA58471,CERT OF TITLE,"130,123 A",ACTUAL,NORMAL WEAR,0 USD,0 USD,0,NY - BUFFALO,0,N/A,N/A
https://www.copart.com/lot/98686495/salvage-2021-hyundai-kona-electric-ultimate-ny-buffalo,98686495,"16,647 USD",03/16/2026 06:00 pm GMT+4,2021,HYUN,KONA ELECTRIC,0.0L 0,0,KM8K53AG9MU125564,CERT OF TITLE-SALVAGE,"57,736 A",ACTUAL,FRONT END,0 USD,0 USD,0,NY - BUFFALO,0,N/A,N/A
https://www.copart.com/lot/98662935/salvage-2025-toyota-corolla-cross-xle-ny-buffalo,98662935,"24,621 USD",03/16/2026 06:00 pm GMT+4,2025,TOYT,COROLLA CROSS,2.0L  4,4,7MUDAABG8SV122741,CERTIFICATE OF SALVAGE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,NY - BUFFALO,0,N/A,N/A
https://www.copart.com/lot/98158905/salvage-2020-ford-explorer-xlt-ny-buffalo,98158905,"22,575 USD",03/16/2026 06:00 pm GMT+4,2020,FORD,EXPLORER,2.3L 4,4,1FMSK8DH7LGC24908,MV-907A SALVAGE CERTIFICATE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,NY - BUFFALO,0,N/A,N/A
https://www.copart.com/lot/97632045/salvage-2025-bmw-m440xi-ny-buffalo,97632045,"62,733 USD",03/16/2026 06:00 pm GMT+4,2025,BMW,M440XI,3.0L  6,6,WBA83DA01SCU00180,MV-907A SALVAGE CERTIFICATE,0 N,NOT ACTUAL,FRONT END,125 USD,0 USD,0,NY - BUFFALO,0,N/A,N/A
https://www.copart.com/lot/97122055/salvage-2021-nissan-rogue-spor-ny-buffalo,97122055,"19,405 USD",03/16/2026 06:00 pm GMT+4,2021,NISS,ROGUE SPOR,2.0L  4,4,JN1BJ1BW0MX427956,MV-907A SALVAGE CERTIFICATE,"21,150 A",ACTUAL,MECHANICAL,0 USD,0 USD,0,NY - BUFFALO,0,N/A,N/A
https://www.copart.com/lot/92951755/clean-title-2018-volvo-vnl-semi-truck-ny-buffalo,92951755,"90,879 USD",03/16/2026 06:00 pm GMT+4,2018,VOLV,VNL,15.0L  6,6,4V4N39TG6JN892841,CERTIFICATE OF TITLE,0 N,NOT ACTUAL,NORMAL WEAR,0 USD,0 USD,0,NY - BUFFALO,0,N/A,N/A
https://www.copart.com/lot/90535855/clean-title-2013-ford-f150-super-cab-ny-buffalo,90535855,"12,037 USD",03/16/2026 06:00 pm GMT+4,2013,FORD,F150,5.0L  8,8,1FTFX1EF6DFB35771,CERT OF TITLE,"210,896 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,NY - BUFFALO,0,N/A,N/A
https://www.copart.com/lot/84998475/salvage-2021-toyota-rav4-xle-ny-buffalo,84998475,"22,831 USD",03/16/2026 06:00 pm GMT+4,2021,TOYT,RAV4,2.5L  4,4,4T3RWRFV7MU042101,CERT OF TITLE-SALVAGE,"78,182 N",NOT ACTUAL,ALL OVER,0 USD,0 USD,0,NY - BUFFALO,0,N/A,N/A
https://www.copart.com/lot/79989955/clean-title-2013-infiniti-jx35-base-ny-buffalo,79989955,$1 USD,03/16/2026 06:00 pm GMT+4,2013,INFI,JX35,3.5L 6,6,5N1AL0MM5DC347350,CERT OF TITLE,"168,317 A",ACTUAL,NORMAL WEAR,"2,150 USD",0 USD,0,NY - BUFFALO,0,N/A,N/A
https://www.copart.com/lot/79902855/salvage-2015-chevrolet-suburban-k1500-lt-ny-buffalo,79902855,"17,650 USD",03/16/2026 06:00 pm GMT+4,2015,CHEV,SUBURBAN,5.3L 8,8,1GNSKJKC9FR176332,MV-907A SALVAGE CERTIFICATE,"167,345 A",ACTUAL,FRONT END,0 USD,0 USD,0,NY - BUFFALO,0,N/A,N/A
https://www.copart.com/lot/79769435/clean-title-2016-volkswagen-tiguan-s-ny-buffalo,79769435,"1,320 USD",03/16/2026 06:00 pm GMT+4,2016,VOLK,TIGUAN,2.0L 4,4,WVGBV7AX8GW085784,CERTIFICATE OF TITLE,"118,937 A",ACTUAL,MECHANICAL,0 USD,0 USD,0,NY - BUFFALO,0,N/A,N/A
https://www.copart.com/lot/79552865/salvage-2017-jeep-compass-latitude-ny-buffalo,79552865,"7,693 USD",03/16/2026 06:00 pm GMT+4,2017,JEP,COMPASS,2.4L 4,4,1C4NJDEB5HD154664,MV-907A SALVAGE CERTIFICATE,"120,258 A",ACTUAL,FRONT END,0 USD,0 USD,0,NY - BUFFALO,0,N/A,N/A
https://www.copart.com/lot/79487105/clean-title-2017-ford-focus-se-ny-buffalo,79487105,"8,978 USD",03/16/2026 06:00 pm GMT+4,2017,FORD,FOCUS,2.0L 4,4,1FADP3F2XHL302788,CERTIFICATE OF TITLE,"124,690 A",ACTUAL,NORMAL WEAR,0 USD,0 USD,0,NY - BUFFALO,0,N/A,N/A
https://www.copart.com/lot/79446095/salvage-2024-chevrolet-silverado-k1500-rst-ny-buffalo,79446095,"46,361 USD",03/16/2026 06:00 pm GMT+4,2024,CHEV,SILVERADO,5.3L 8,8,3GCUDEED0RG246621,MV-907A SALVAGE CERTIFICATE,"23,079 A",ACTUAL,REAR END,0 USD,0 USD,0,NY - BUFFALO,0,N/A,N/A
https://www.copart.com/lot/79436885/salvage-2024-volkswagen-taos-se-ny-buffalo,79436885,"20,560 USD",03/16/2026 06:00 pm GMT+4,2024,VOLK,TAOS,1.5L 4,4,3VVVX7B21RM049907,MV-907A SALVAGE CERTIFICATE,"28,029 A",ACTUAL,REAR END,0 USD,0 USD,0,NY - BUFFALO,0,N/A,N/A
https://www.copart.com/lot/79390685/salvage-2019-chevrolet-colorado-ny-buffalo,79390685,"17,203 USD",03/16/2026 06:00 pm GMT+4,2019,CHEV,COLORADO,3.6L 6,6,1GCGTBEN0K1345564,MV-907A SALVAGE CERTIFICATE,"100,701 A",ACTUAL,FRONT END,0 USD,0 USD,0,NY - BUFFALO,0,N/A,N/A
https://www.copart.com/lot/79278565/clean-title-2018-mitsubishi-outlander-se-ny-buffalo,79278565,"9,775 USD",03/16/2026 06:00 pm GMT+4,2018,MITS,OUTLANDER,2.4L 4,4,JA4AZ3A31JZ007227,CERT OF TITLE,"106,262 A",ACTUAL,FRONT END,0 USD,0 USD,0,NY - BUFFALO,0,N/A,N/A
https://www.copart.com/lot/79181045/salvage-2022-chevrolet-equinox-lt-ny-buffalo,79181045,"18,948 USD",03/16/2026 06:00 pm GMT+4,2022,CHEV,EQUINOX,1.5L 4,4,3GNAXUEVXNL300285,MV-907A SALVAGE CERTIFICATE,"27,029 A",ACTUAL,FRONT END,0 USD,0 USD,0,NY - BUFFALO,0,N/A,N/A
https://www.copart.com/lot/78964325/salvage-2018-honda-hr-v-lx-ny-buffalo,78964325,"15,121 USD",03/16/2026 06:00 pm GMT+4,2018,HOND,HR-V,1.8L 4,4,3CZRU6H32JG714796,MV-907A SALVAGE CERTIFICATE,"65,639 A",ACTUAL,FRONT END,0 USD,0 USD,0,NY - BUFFALO,0,N/A,N/A
https://www.copart.com/lot/78863675/salvage-2024-subaru-outback-wilderness-ny-buffalo,78863675,"29,664 USD",03/16/2026 06:00 pm GMT+4,2024,SUBA,OUTBACK,2.4L 4,4,4S4BTGUD8R3229121,MV-907A SALVAGE CERTIFICATE,"30,174 A",ACTUAL,FRONT END,0 USD,0 USD,0,NY - BUFFALO,0,N/A,N/A
