Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/98916335/clean-title-2019-bmw-330xi-ny-long-island,98916335,"19,640 USD",03/16/2026 06:00 pm GMT+4,2019,BMW,330XI,2.0L  4,4,WBA5R7C51KAJ84421,CERTIFICATE OF TITLE,0 N,NOT ACTUAL,ROLLOVER,0 USD,0 USD,0,NY - LONG ISLAND,0,N/A,N/A
https://www.copart.com/lot/96700475/salvage-2018-hyundai-elantra-sel-ny-long-island,96700475,"6,454 USD",03/16/2026 06:00 pm GMT+4,2018,HYUN,ELANTRA,2.0L  4,4,5NPD84LF1JH304475,SALVAGE CERTIFICATE OF TITLE,"123,454 A",ACTUAL,FRONT END,0 USD,0 USD,0,NY - LONG ISLAND,0,N/A,N/A
https://www.copart.com/lot/96609085/2020-mazda-mx-5-miata-grand-touring-ny-long-island,96609085,"20,000 USD",03/16/2026 06:00 pm GMT+4,2020,MAZD,MX-5 MIATA,2.0L  4,4,JM1NDAM74L0411770,CERT OF TITLE- NON REPAIR,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,NY - LONG ISLAND,0,N/A,N/A
https://www.copart.com/lot/95305465/2008-honda-ridgeline-rtx-ny-long-island,95305465,"6,062 USD",03/16/2026 06:00 pm GMT+4,2008,HOND,RIDGELINE,3.5L  6,6,2HJYK16378H541084,MV907A-PARTS ONLY,"131,339 A",ACTUAL,FRONT END,425 USD,0 USD,0,NY - LONG ISLAND,0,N/A,N/A
https://www.copart.com/lot/95067885/salvage-2025-nissan-rogue-sv-ny-long-island,95067885,"25,456 USD",03/16/2026 06:00 pm GMT+4,2025,NISS,ROGUE,1.5L  3,3,JN8BT3BB2SW153256,MV-907A SALVAGE CERTIFICATE,"5,566 A",ACTUAL,FRONT END,0 USD,0 USD,0,NY - LONG ISLAND,0,N/A,N/A
https://www.copart.com/lot/92573445/2024-bmw-330xi-ny-long-island,92573445,"37,198 USD",03/16/2026 06:00 pm GMT+4,2024,BMW,330XI,2.0L  4,4,3MW89FF04R8E31802,MV907A-PARTS ONLY,"13,658 A",ACTUAL,FRONT END,"8,300 USD",0 USD,0,NY - LONG ISLAND,0,N/A,N/A
https://www.copart.com/lot/90969145/2013-acura-mdx-technology-ny-long-island,90969145,"7,403 USD",03/16/2026 06:00 pm GMT+4,2013,ACUR,MDX,3.7L  6,6,2HNYD2H35DH515069,MV907A-PARTS ONLY,"141,982 A",ACTUAL,REAR END,0 USD,0 USD,0,NY - LONG ISLAND,0,N/A,N/A
https://www.copart.com/lot/90431945/2012-cadillac-cts-premium-collection-ny-long-island,90431945,"6,467 USD",03/16/2026 06:00 pm GMT+4,2012,CADI,CTS,3.6L  6,6,1G6DP5E33C0157073,MV907A-PARTS ONLY,"135,258 A",ACTUAL,FRONT END,0 USD,0 USD,0,NY - LONG ISLAND,0,N/A,N/A
https://www.copart.com/lot/87474505/clean-title-2015-chevrolet-camaro-lt-ny-long-island,87474505,$1 USD,03/16/2026 06:00 pm GMT+4,2015,CHEV,CAMARO,3.6L  6,6,2G1FD1E3XF9271341,CERTIFICATE OF TITLE,"99,999 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,NY - LONG ISLAND,0,N/A,N/A
https://www.copart.com/lot/84380824/2012-subaru-outback-2-5i-premium-ny-long-island,84380824,"3,359 USD",03/16/2026 06:00 pm GMT+4,2012,SUBA,OUTBACK,2.5L  4,4,4S4BRCCC3C3222956,MV907A-PARTS ONLY,"243,132 A",ACTUAL,FRONT END,80 USD,0 USD,0,NY - LONG ISLAND,0,N/A,N/A
https://www.copart.com/lot/82431455/2022-lexus-is-350-f-sport-ny-long-island,82431455,"36,939 USD",03/16/2026 06:00 pm GMT+4,2022,LEXS,IS,3.5L  6,6,JTHGZ1E25N5025960,MV907A-PARTS ONLY,"35,428 A",ACTUAL,FRONT END,"1,550 USD",0 USD,0,NY - LONG ISLAND,0,N/A,N/A
https://www.copart.com/lot/80379665/2021-mercedes-benz-gla-35-amg-ny-long-island,80379665,"33,519 USD",03/16/2026 06:00 pm GMT+4,2021,MERZ,GLA 35 AMG,2.0L  4,4,W1N4N5BBXMJ316061,MV907A-PARTS ONLY,"26,623 A",ACTUAL,TOP/ROOF,"2,050 USD",0 USD,0,NY - LONG ISLAND,0,N/A,N/A
