Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99937055/salvage-2025-jeep-grand-cherokee-laredo-ny-rochester,99937055,"37,918 USD",03/16/2026 06:00 pm GMT+4,2025,JEP,GRAND CHEROKEE,3.6L  6,6,1C4RJHAG4SC313150,MV-907A SALVAGE CERTIFICATE,"10,419 A",ACTUAL,FRONT END,0 USD,0 USD,0,NY - ROCHESTER,0,N/A,N/A
https://www.copart.com/lot/99218585/salvage-2019-chevrolet-trax-1lt-ny-rochester,99218585,"11,429 USD",03/16/2026 06:00 pm GMT+4,2019,CHEV,TRAX,1.4L 4,4,KL7CJPSB7KB905079,MV-907A SALVAGE CERTIFICATE,"97,982 A",ACTUAL,FRONT END,0 USD,0 USD,0,NY - ROCHESTER,0,N/A,N/A
https://www.copart.com/lot/98986125/salvage-2019-fabr-trailer-ny-rochester,98986125,"33,582 USD",03/16/2026 06:00 pm GMT+4,2019,FABR,TRAILER,,,5JWCK3426KP068523,MV-907A SALVAGE CERTIFICATE,0 N,NOT ACTUAL,ALL OVER,0 USD,0 USD,0,NY - ROCHESTER,0,N/A,N/A
https://www.copart.com/lot/98448445/2022-honda-pilot-black-ny-rochester,98448445,"25,828 USD",03/16/2026 06:00 pm GMT+4,2022,HOND,PILOT,3.5L  6,6,5FNYF6H79NB015711,MV907A-PARTS ONLY,"85,707 A",ACTUAL,FRONT END,0 USD,0 USD,0,NY - ROCHESTER,0,N/A,N/A
https://www.copart.com/lot/98377415/2013-chevrolet-malibu-ls-ny-rochester,98377415,"5,640 USD",03/16/2026 06:00 pm GMT+4,2013,CHEV,MALIBU,2.5L  4,4,1G11B5SA5DF338944,MV907A-PARTS ONLY,"90,767 A",ACTUAL,FRONT END,0 USD,0 USD,0,NY - ROCHESTER,0,N/A,N/A
https://www.copart.com/lot/98338245/2022-volkswagen-atlas-sel-r-line-ny-rochester,98338245,"28,000 USD",03/16/2026 06:00 pm GMT+4,2022,VOLK,ATLAS,3.6L  6,6,1V2AR2CA3NC508977,MV907A-PARTS ONLY,0 N,NOT ACTUAL,ALL OVER,0 USD,0 USD,0,NY - ROCHESTER,0,N/A,N/A
https://www.copart.com/lot/97757785/clean-title-2010-ford-f150-super-cab-ny-rochester,97757785,"7,780 USD",03/16/2026 06:00 pm GMT+4,2010,FORD,F150,4.6L  8,8,1FTEX1EW9AFB86415,CERTIFICATE OF TITLE,"170,793 A",ACTUAL,MECHANICAL,0 USD,0 USD,0,NY - ROCHESTER,0,N/A,N/A
https://www.copart.com/lot/97452375/salvage-2017-acura-mdx-technology-ny-rochester,97452375,"20,855 USD",03/16/2026 06:00 pm GMT+4,2017,ACUR,MDX,3.5L  6,6,5FRYD4H51HB036399,MV-907A SALVAGE CERTIFICATE,"42,599 A",ACTUAL,FRONT END,0 USD,0 USD,0,NY - ROCHESTER,0,N/A,N/A
https://www.copart.com/lot/97401715/salvage-2023-nissan-rogue-sv-ny-rochester,97401715,"19,777 USD",03/16/2026 06:00 pm GMT+4,2023,NISS,ROGUE,1.5L  3,3,JN8BT3BB9PW472807,MV-907A SALVAGE CERTIFICATE,"39,324 A",ACTUAL,FRONT END,0 USD,0 USD,0,NY - ROCHESTER,0,N/A,N/A
https://www.copart.com/lot/97152335/2025-ford-maverick-xl-ny-rochester,97152335,"29,940 USD",03/16/2026 06:00 pm GMT+4,2025,FORD,MAVERICK,2.5L  4,4,3FTTW8A33SRB20235,MV907A-PARTS ONLY,"3,633 A",ACTUAL,SIDE,175 USD,0 USD,0,NY - ROCHESTER,0,N/A,N/A
https://www.copart.com/lot/96474205/clean-title-2025-sure-trac-st8212tat-b-070-utility-trailer-ny-rochester,96474205,$1 USD,03/16/2026 06:00 pm GMT+4,2025,SUER,UNKNOWN,,,5JW1U1227S1434856,CERTIFICATE OF TITLE (P),0 N,NOT ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,NY - ROCHESTER,0,N/A,N/A
https://www.copart.com/lot/95948195/salvage-2021-jeep-grand-cherokee-l-limited-ny-rochester,95948195,"24,714 USD",03/16/2026 06:00 pm GMT+4,2021,JEP,GRAND CHEROKEE,3.6L 6,6,1C4RJKBG2M8157921,MV-907A SALVAGE CERTIFICATE,"71,159 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,NY - ROCHESTER,0,N/A,N/A
https://www.copart.com/lot/94143715/2022-mitsubishi-outlander-sport-es-ny-rochester,94143715,"18,673 USD",03/16/2026 06:00 pm GMT+4,2022,MITS,OUTLANDER SPORT,2.0L  4,4,JA4ARUAUXNU010760,MV907A-PARTS ONLY,"37,239 A",ACTUAL,FRONT END,0 USD,0 USD,0,NY - ROCHESTER,0,N/A,N/A
https://www.copart.com/lot/93713465/salvage-2016-chevrolet-malibu-lt-ny-rochester,93713465,"8,993 USD",03/16/2026 06:00 pm GMT+4,2016,CHEV,MALIBU,1.5L 4,4,1G1ZE5ST1GF192042,MV-907A SALVAGE CERTIFICATE,"140,929 A",ACTUAL,FRONT END,0 USD,0 USD,0,NY - ROCHESTER,0,N/A,N/A
https://www.copart.com/lot/90606175/salvage-2016-nissan-rogue-s-ny-rochester,90606175,"10,237 USD",03/16/2026 06:00 pm GMT+4,2016,NISS,ROGUE,2.5L  4,4,5N1AT2MV5GC866259,PERMIT SALVAGE,"94,142 A",ACTUAL,FRONT END,0 USD,0 USD,0,NY - ROCHESTER,0,N/A,N/A
https://www.copart.com/lot/89840755/salvage-2017-chrysler-pacifica-touring-ny-rochester,89840755,"6,682 USD",03/16/2026 06:00 pm GMT+4,2017,CHRY,PACIFICA,3.6L  6,6,2C4RC1DG9HR520615,MV-907A SALVAGE CERTIFICATE,"193,749 A",ACTUAL,FRONT END,0 USD,0 USD,0,NY - ROCHESTER,0,N/A,N/A
https://www.copart.com/lot/86079955/2011-dodge-avenger-express-ny-rochester,86079955,"4,501 USD",03/16/2026 06:00 pm GMT+4,2011,DODG,AVENGER,2.4L  4,4,1B3BD4FB2BN578346,MV907A-PARTS ONLY,"164,813 A",ACTUAL,FRONT END,0 USD,0 USD,0,NY - ROCHESTER,0,N/A,N/A
https://www.copart.com/lot/85547715/2008-chevrolet-suburban-k1500-ls-ny-rochester,85547715,"5,756 USD",03/16/2026 06:00 pm GMT+4,2008,CHEV,SUBURBAN K1500 LS,5.3L  8,8,3GNFK16348G179654,MV907A-PARTS ONLY W/LIENHOLDER,0 E,EXEMPT,REAR END,0 USD,0 USD,0,NY - ROCHESTER,0,N/A,N/A
