Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99732245/clean-title-2009-gmc-sierra-k1500-sle-ny-syracuse,99732245,"6,458 USD",03/16/2026 06:00 pm GMT+4,2009,GMC,SIERRA,5.3L  8,8,3GTEK23349G262257,CERTIFICATE OF TITLE,"131,183 A",ACTUAL,NORMAL WEAR,0 USD,0 USD,0,NY - SYRACUSE,0,N/A,N/A
https://www.copart.com/lot/99721975/salvage-2010-ford-econoline-e350-super-duty-van-ny-syracuse,99721975,"14,474 USD",03/16/2026 06:00 pm GMT+4,2010,FORD,ECONOLINE,6.0L  8,8,1FTSE3EP5ADA07697,MV-907A SALVAGE CERTIFICATE,"193,892 A",ACTUAL,SIDE,0 USD,0 USD,0,NY - SYRACUSE,0,N/A,N/A
https://www.copart.com/lot/99032715/clean-title-2019-jeep-cherokee-latitude-plus-ny-syracuse,99032715,"14,258 USD",03/16/2026 06:00 pm GMT+4,2019,JEP,CHEROKEE,2.4L  4,4,1C4PJMLB0KD310838,CERTIFICATE OF TITLE,"98,199 A",ACTUAL,FRONT END,0 USD,0 USD,0,NY - SYRACUSE,0,N/A,N/A
https://www.copart.com/lot/98696725/salvage-2016-subaru-outback-2-5i-premium-ny-syracuse,98696725,"10,350 USD",03/16/2026 06:00 pm GMT+4,2016,SUBA,OUTBACK,2.5L  4,4,4S4BSACC4G3312051,MV-907A SALVAGE CERTIFICATE,"115,427 A",ACTUAL,REAR END,0 USD,0 USD,0,NY - SYRACUSE,0,N/A,N/A
https://www.copart.com/lot/97994485/2025-chevrolet-malibu-lt-ny-syracuse,97994485,$1 USD,03/16/2026 06:00 pm GMT+4,2025,CHEV,MALIBU,1.5L  4,4,1G1ZD5ST5SF142627,CERTIFICATE OF DESTRUCTION,0 N,NOT ACTUAL,ALL OVER,0 USD,0 USD,0,NY - SYRACUSE,0,N/A,N/A
https://www.copart.com/lot/97853635/salvage-2011-toyota-tundra-double-cab-sr5-ny-syracuse,97853635,$1 USD,03/16/2026 06:00 pm GMT+4,2011,TOYT,TUNDRA,5.7L  8,8,5TFUY5F16BX201838,MV-907A SALVAGE CERTIFICATE,"248,183 A",ACTUAL,SIDE,0 USD,0 USD,0,NY - SYRACUSE,0,N/A,N/A
https://www.copart.com/lot/95170715/salvage-2018-jeep-grand-cherokee-laredo-ny-syracuse,95170715,"16,248 USD",03/16/2026 06:00 pm GMT+4,2018,JEP,GRAND CHEROKEE,3.6L  6,6,1C4RJFAG7JC382269,MV-907A SALVAGE CERTIFICATE,"122,692 A",ACTUAL,FRONT END,0 USD,0 USD,0,NY - SYRACUSE,0,N/A,N/A
https://www.copart.com/lot/93039295/salvage-2019-chevrolet-express-delivery-truck-ny-syracuse,93039295,$1 USD,03/16/2026 06:00 pm GMT+4,2019,CHEV,EXPRESS,6.0L  8,8,1GB0GRFG9K1219027,MV-907A SALVAGE CERTIFICATE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,NY - SYRACUSE,0,N/A,N/A
https://www.copart.com/lot/85056335/clean-title-2011-hyundai-santa-fe-gls-ny-syracuse,85056335,"5,787 USD",03/16/2026 06:00 pm GMT+4,2011,HYUN,SANTA FE,2.4L  4,4,5XYZGDAB5BG069290,CERTIFICATE OF TITLE,"130,770 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,NY - SYRACUSE,0,N/A,N/A
https://www.copart.com/lot/82519575/2023-jeep-compass-limited-ny-syracuse,82519575,"24,175 USD",03/16/2026 06:00 pm GMT+4,2023,JEP,COMPASS,2.0L  4,4,3C4NJDCN6PT559812,MV907A-PARTS ONLY W/LIENHOLDER,"16,281 A",ACTUAL,FRONT END,250 USD,0 USD,0,NY - SYRACUSE,0,N/A,N/A
