Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99590075/salvage-2025-hyundai-elantra-sel-sport-pa-scranton,99590075,"20,435 USD",03/18/2026 06:00 pm GMT+4,2025,HYUN,ELANTRA,2.0L  4,4,KMHLM4DG8SU987552,CERTIFICATE OF SALVAGE,"8,090 A",ACTUAL,TOP/ROOF,0 USD,0 USD,0,PA - SCRANTON,0,N/A,N/A
https://www.copart.com/lot/98226435/salvage-2016-ram-1500-st-pa-scranton,98226435,"13,591 USD",03/18/2026 06:00 pm GMT+4,2016,RAM,1500,5.7L 8,8,1C6RR7FT9GS400054,CERTIFICATE OF SALVAGE,"140,842 A",ACTUAL,FRONT END,0 USD,0 USD,0,PA - SCRANTON,0,N/A,N/A
https://www.copart.com/lot/97262315/salvage-2024-honda-accord-hybrid-sport-pa-scranton,97262315,"29,085 USD",03/18/2026 06:00 pm GMT+4,2024,HOND,ACCORD,2.0L  4,4,1HGCY2F5XRA071624,CERTIFICATE OF SALVAGE,"11,910 A",ACTUAL,SIDE,0 USD,0 USD,0,PA - SCRANTON,0,N/A,N/A
https://www.copart.com/lot/92490535/salvage-2020-toyota-corolla-le-pa-scranton,92490535,"13,712 USD",03/18/2026 06:00 pm GMT+4,2020,TOYT,COROLLA,1.8L  4,4,5YFVPRAE6LP081452,CERTIFICATE OF SALVAGE,"76,626 A",ACTUAL,ROLLOVER,0 USD,0 USD,0,PA - SCRANTON,0,N/A,N/A
https://www.copart.com/lot/79896255/salvage-2017-jeep-renegade-trailhawk-pa-scranton,79896255,"12,272 USD",03/18/2026 06:00 pm GMT+4,2017,JEP,RENEGADE,2.4L 4,4,ZACCJBCB1HPG64591,CERTIFICATE OF SALVAGE,"67,389 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,PA - SCRANTON,0,N/A,N/A
https://www.copart.com/lot/79691545/salvage-2016-jeep-wrangler-unlimited-sahara-pa-scranton,79691545,"12,180 USD",03/18/2026 06:00 pm GMT+4,2016,JEP,WRANGLER UNLIMITED,3.6L 6,6,1C4BJWEG6GL158933,CERTIFICATE OF SALVAGE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,PA - SCRANTON,0,N/A,N/A
https://www.copart.com/lot/78831245/salvage-2016-toyota-rav4-xle-pa-scranton,78831245,"15,941 USD",03/18/2026 06:00 pm GMT+4,2016,TOYT,RAV4,2.5L 4,4,2T3RFREV4GW431817,CERTIFICATE OF SALVAGE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,PA - SCRANTON,0,N/A,N/A
https://www.copart.com/lot/78820455/salvage-2014-chevrolet-malibu-1lt-pa-scranton,78820455,"4,528 USD",03/18/2026 06:00 pm GMT+4,2014,CHEV,MALIBU,2.5L 4,4,1G11C5SL9EU165392,CERTIFICATE OF SALVAGE,"35,868 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,PA - SCRANTON,0,N/A,N/A
https://www.copart.com/lot/78758505/salvage-2013-ford-f150-super-cab-pa-scranton,78758505,"5,272 USD",03/18/2026 06:00 pm GMT+4,2013,FORD,F150,5.0L 8,8,1FTFX1EF3DFB94745,CERTIFICATE OF SALVAGE,"286,610 A",ACTUAL,SIDE,0 USD,0 USD,0,PA - SCRANTON,0,N/A,N/A
https://www.copart.com/lot/78758105/salvage-2010-chevrolet-tahoe-c1500-ltz-pa-scranton,78758105,"9,106 USD",03/18/2026 06:00 pm GMT+4,2010,CHEV,TAHOE,5.3L 8,8,1GNUCCE07AR197112,CERTIFICATE OF SALVAGE,"142,007 A",ACTUAL,SIDE,0 USD,0 USD,0,PA - SCRANTON,0,N/A,N/A
