Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99419845/clean-title-2013-honda-cr-v-ex-tn-memphis,99419845,"7,882 USD",03/17/2026 09:00 pm GMT+4,2013,HOND,CR-V,2.4L  4,4,5J6RM4H54DL050997,CERTIFICATE OF TITLE,"280,013 A",ACTUAL,SIDE,0 USD,0 USD,0,TN - MEMPHIS,0,N/A,N/A
https://www.copart.com/lot/97392445/1993-ford-ranger-tn-memphis,97392445,"1,694 USD",03/17/2026 09:00 pm GMT+4,1993,FORD,RANGER,4.0L  6,6,1FTCR10X8PTA41040,NON-REPAIRABLE CERTIFICATE,0 E,EXEMPT,BURN,0 USD,0 USD,0,TN - MEMPHIS,0,N/A,N/A
https://www.copart.com/lot/96117475/clean-title-2012-lexus-is-250-tn-memphis,96117475,"8,279 USD",03/17/2026 09:00 pm GMT+4,2012,LEXS,IS,2.5L  6,6,JTHBF5C27C5171786,CERTIFICATE OF TITLE,"171,196 A",ACTUAL,FRONT END,0 USD,0 USD,0,TN - MEMPHIS,0,N/A,N/A
https://www.copart.com/lot/94276915/salvage-2019-ford-escape-s-tn-memphis,94276915,"17,172 USD",03/17/2026 09:00 pm GMT+4,2019,FORD,ESCAPE,2.5L  4,4,1FMCU0F71KUA38558,SALVAGE CERTIFICATE,"28,271 A",ACTUAL,FRONT END,35 USD,0 USD,0,TN - MEMPHIS,0,N/A,N/A
https://www.copart.com/lot/92792525/salvage-2016-kia-forte-lx-tn-memphis,92792525,"7,013 USD",03/17/2026 09:00 pm GMT+4,2016,KIA,FORTE,1.8L  4,4,KNAFK4A67G5594305,SALVAGE CERTIFICATE,"110,360 A",ACTUAL,REAR END,0 USD,0 USD,0,TN - MEMPHIS,0,N/A,N/A
https://www.copart.com/lot/89849815/clean-title-2015-ford-transit-t-250-tn-memphis,89849815,"8,977 USD",03/17/2026 09:00 pm GMT+4,2015,FORD,TRANSIT,3.7L  6,6,1FTNR2ZM4FKA77979,CERTIFICATE OF TITLE,"213,243 A",ACTUAL,SIDE,0 USD,0 USD,0,TN - MEMPHIS,0,N/A,N/A
https://www.copart.com/lot/85179735/clean-title-2020-buick-envision-preferred-tn-memphis,85179735,"19,503 USD",03/17/2026 09:00 pm GMT+4,2020,BUIC,ENVISION PREFERRED,2.5L  4,4,LRBFXBSA9LD196300,CERTIFICATE OF TITLE,"51,278 N",NOT ACTUAL,SIDE,35 USD,0 USD,0,TN - MEMPHIS,0,N/A,N/A
https://www.copart.com/lot/79374255/salvage-2012-kia-optima-sx-turbo-tn-memphis,79374255,"8,011 USD",03/17/2026 09:00 pm GMT+4,2012,KIA,OPTIMA,2.0L 4,4,5XXGR4A62CG078538,SALVAGE CERTIFICATE,"149,641 A",ACTUAL,FRONT END,0 USD,0 USD,0,TN - MEMPHIS,0,N/A,N/A
https://www.copart.com/lot/79300385/salvage-2018-buick-encore-preferred-tn-memphis,79300385,"5,414 USD",03/17/2026 09:00 pm GMT+4,2018,BUIC,ENCORE,1.4L 4,4,KL4CJASB9JB710514,SALVAGE CERTIFICATE,"112,695 A",ACTUAL,SIDE,0 USD,0 USD,0,TN - MEMPHIS,0,N/A,N/A
https://www.copart.com/lot/78481355/salvage-2018-toyota-tacoma-trd-off-road-tn-memphis,78481355,"26,869 USD",03/17/2026 09:00 pm GMT+4,2018,TOYT,TACOMA,3.5L  6,6,3TMCZ5AN8JM167182,SALVAGE CERTIFICATE,"121,517 A",ACTUAL,FRONT END,35 USD,0 USD,0,TN - MEMPHIS,0,N/A,N/A
