Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99884305/clean-title-2004-ford-mustang-tn-nashville,99884305,"4,599 USD",03/16/2026 09:00 pm GMT+4,2004,FORD,MUSTANG,3.9L  6,6,1FAFP44634F232886,CERTIFICATE OF TITLE,"239,082 E",EXEMPT,FRONT END,0 USD,0 USD,0,TN - NASHVILLE,0,N/A,N/A
https://www.copart.com/lot/99883245/salvage-2019-land-rover-range-rover-velar-r-dynamic-se-tn-nashville,99883245,"20,607 USD",03/16/2026 09:00 pm GMT+4,2019,LAND,RANGE ROVER VELAR,2.0L  4,4,SALYL2EX4KA206276,SALVAGE CERTIFICATE,"90,248 A",ACTUAL,FRONT END,200 USD,0 USD,0,TN - NASHVILLE,0,N/A,N/A
https://www.copart.com/lot/99848445/salvage-2021-mini-cooper-s-tn-nashville,99848445,"22,498 USD",03/16/2026 09:00 pm GMT+4,2021,MIN,COOPER,2.0L  4,4,WMWWJ5C07M3N02294,SALVAGE CERTIFICATE,"67,290 A",ACTUAL,SIDE,0 USD,0 USD,0,TN - NASHVILLE,0,N/A,N/A
https://www.copart.com/lot/99792465/salvage-2025-hyundai-elantra-sel-sport-tn-nashville,99792465,"21,232 USD",03/16/2026 09:00 pm GMT+4,2025,HYUN,ELANTRA,2.0L 4,4,KMHLM4DG8SU868920,SALVAGE CERTIFICATE,"3,130 A",ACTUAL,FRONT END,175 USD,0 USD,0,TN - NASHVILLE,0,N/A,N/A
https://www.copart.com/lot/99703915/salvage-2023-audi-q5-premium-40-tn-nashville,99703915,"24,422 USD",03/16/2026 09:00 pm GMT+4,2023,AUDI,Q5,2.0L 4,4,WA1ABAFY8P2061686,SALVAGE CERTIFICATE,"39,637 A",ACTUAL,FRONT END,0 USD,0 USD,0,TN - NASHVILLE,0,N/A,N/A
https://www.copart.com/lot/99675925/salvage-2012-honda-cr-v-ex-tn-nashville,99675925,"7,182 USD",03/16/2026 09:00 pm GMT+4,2012,HOND,CR-V,2.4L 4,4,5J6RM3H54CL038616,SALVAGE CERTIFICATE,"170,124 A",ACTUAL,FRONT END,0 USD,0 USD,0,TN - NASHVILLE,0,N/A,N/A
https://www.copart.com/lot/99664295/clean-title-1999-toyota-corolla-ve-tn-nashville,99664295,"2,503 USD",03/16/2026 09:00 pm GMT+4,1999,TOYT,COROLLA,1.8L  4,4,2T1BR12E2XC205722,CERTIFICATE OF TITLE,"132,466 E",EXEMPT,SIDE,0 USD,0 USD,0,TN - NASHVILLE,0,N/A,N/A
https://www.copart.com/lot/99646285/clean-title-2024-mercedes-benz-glb-250-tn-nashville,99646285,"35,094 USD",03/16/2026 09:00 pm GMT+4,2024,MERZ,GLB,2.0L  4,4,W1N4M4GB0RW348890,CERTIFICATE OF TITLE,"31,599 A",ACTUAL,FRONT END,0 USD,0 USD,0,TN - NASHVILLE,0,N/A,N/A
https://www.copart.com/lot/99633575/salvage-2025-toyota-camry-xse-tn-nashville,99633575,"29,596 USD",03/16/2026 09:00 pm GMT+4,2025,TOYT,CAMRY,2.5L  4,4,4T1DAACK9SU640958,SALVAGE CERTIFICATE,"4,807 A",ACTUAL,FRONT END,175 USD,0 USD,0,TN - NASHVILLE,0,N/A,N/A
https://www.copart.com/lot/99505745/salvage-2020-dodge-journey-se-tn-nashville,99505745,"13,321 USD",03/16/2026 09:00 pm GMT+4,2020,DODG,JOURNEY,2.4L  4,4,3C4PDCAB1LT272309,SALVAGE CERTIFICATE,"115,053 A",ACTUAL,FRONT END,0 USD,0 USD,0,TN - NASHVILLE,0,N/A,N/A
