Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99623315/salvage-2015-chevrolet-tahoe-k1500-ltz-tx-amarillo,99623315,"12,983 USD",03/17/2026 09:00 pm GMT+4,2015,CHEV,TAHOE,5.3L 8,8,1GNSKCKC6FR275007,SALVAGE VEHICLE TITLE,"199,519 A",ACTUAL,REAR END,0 USD,0 USD,0,TX - AMARILLO,0,N/A,N/A
https://www.copart.com/lot/99320865/clean-title-2021-hyundai-sonata-n-line-tx-amarillo,99320865,"23,625 USD",03/17/2026 09:00 pm GMT+4,2021,HYUN,SONATA,2.5L  4,4,5NPEK4JC8MH128883,CERTIFICATE OF TITLE,"28,146 A",ACTUAL,HAIL,0 USD,0 USD,0,TX - AMARILLO,0,N/A,N/A
https://www.copart.com/lot/98893485/salvage-2024-volkswagen-jetta-s-tx-amarillo,98893485,"18,117 USD",03/17/2026 09:00 pm GMT+4,2024,VOLK,JETTA,1.5L  4,4,3VW5M7BU4RM094586,SALVAGE VEHICLE TITLE,"14,665 A",ACTUAL,REAR END,0 USD,0 USD,0,TX - AMARILLO,0,N/A,N/A
https://www.copart.com/lot/97410535/salvage-2018-dodge-journey-se-tx-amarillo,97410535,"4,658 USD",03/17/2026 09:00 pm GMT+4,2018,DODG,JOURNEY,2.4L  4,4,3C4PDCABXJT385480,SALVAGE VEHICLE TITLE,"127,695 A",ACTUAL,FRONT END,0 USD,0 USD,0,TX - AMARILLO,0,N/A,N/A
https://www.copart.com/lot/96816985/salvage-2007-gmc-new-sierra-c1500-tx-amarillo,96816985,"7,404 USD",03/17/2026 09:00 pm GMT+4,2007,GMC,NEW SIERRA,5.3L  8,8,1GTEC14J77Z520837,SALVAGE VEHICLE TITLE,"164,740 A",ACTUAL,ROLLOVER,0 USD,0 USD,0,TX - AMARILLO,0,N/A,N/A
https://www.copart.com/lot/96413345/salvage-2018-chevrolet-equinox-premier-tx-amarillo,96413345,"5,199 USD",03/17/2026 09:00 pm GMT+4,2018,CHEV,EQUINOX,1.5L  4,4,2GNAXMEVXJ6299122,SALVAGE VEHICLE TITLE,"182,784 A",ACTUAL,REAR END,0 USD,0 USD,0,TX - AMARILLO,0,N/A,N/A
https://www.copart.com/lot/96339565/clean-title-2021-jeep-cherokee-latitude-tx-amarillo,96339565,"13,524 USD",03/17/2026 09:00 pm GMT+4,2021,JEP,CHEROKEE,2.4L  4,4,1C4PJLCB4MD114950,CERTIFICATE OF TITLE,"80,535 A",ACTUAL,REAR END,0 USD,0 USD,0,TX - AMARILLO,0,N/A,N/A
https://www.copart.com/lot/96270255/clean-title-2018-ford-f150-supercrew-tx-amarillo,96270255,"12,565 USD",03/17/2026 09:00 pm GMT+4,2018,FORD,F150,2.7L  6,6,1FTEW1EP4JKF04153,CERTIFICATE OF TITLE,"206,260 A",ACTUAL,HAIL,0 USD,0 USD,0,TX - AMARILLO,0,N/A,N/A
https://www.copart.com/lot/95471945/clean-title-2012-mitsubishi-lancer-gt-tx-amarillo,95471945,"5,895 USD",03/17/2026 09:00 pm GMT+4,2012,MITS,LANCER,2.4L  4,4,JA32X8HW1CU021608,CERTIFICATE OF TITLE,"144,380 A",ACTUAL,HAIL,0 USD,0 USD,0,TX - AMARILLO,0,N/A,N/A
https://www.copart.com/lot/95324455/clean-title-2015-cadillac-srx-premium-collection-tx-amarillo,95324455,"9,153 USD",03/17/2026 09:00 pm GMT+4,2015,CADI,SRX,3.6L  6,6,3GYFNDE3XFS511720,CERTIFICATE OF TITLE,"106,603 A",ACTUAL,HAIL,0 USD,0 USD,0,TX - AMARILLO,0,N/A,N/A
