Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/98776735/clean-title-2025-jeep-grand-cherokee-laredo-tx-corpus-christi,98776735,"36,472 USD",03/17/2026 09:00 pm GMT+4,2025,JEP,GRAND CHEROKEE,3.6L  6,6,1C4RJGAG3SC328149,CERTIFICATE OF TITLE,855 A,ACTUAL,HAIL,0 USD,0 USD,0,TX - CORPUS CHRISTI,0,N/A,N/A
https://www.copart.com/lot/98416515/clean-title-2019-gmc-terrain-slt-tx-corpus-christi,98416515,"17,482 USD",03/17/2026 09:00 pm GMT+4,2019,GMC,TERRAIN,2.0L  4,4,3GKALPEX5KL355847,CERTIFICATE OF TITLE,"81,387 A",ACTUAL,HAIL,0 USD,0 USD,0,TX - CORPUS CHRISTI,0,N/A,N/A
https://www.copart.com/lot/98385265/clean-title-2024-toyota-corolla-le-tx-corpus-christi,98385265,"18,689 USD",03/17/2026 09:00 pm GMT+4,2024,TOYT,COROLLA,2.0L  4,4,5YFB4MDE4RP197347,CERTIFICATE OF TITLE,"28,686 A",ACTUAL,HAIL,0 USD,0 USD,0,TX - CORPUS CHRISTI,0,N/A,N/A
https://www.copart.com/lot/97765395/clean-title-2021-cadillac-escalade-esv-sport-tx-corpus-christi,97765395,"55,143 USD",03/17/2026 09:00 pm GMT+4,2021,CADI,ESCALADE,6.2L  8,8,1GYS4PKL9MR233805,CERTIFICATE OF TITLE,"55,581 A",ACTUAL,HAIL,425 USD,0 USD,0,TX - CORPUS CHRISTI,0,N/A,N/A
https://www.copart.com/lot/96916645/clean-title-2024-cadillac-escalade-esv-sport-tx-corpus-christi,96916645,"77,899 USD",03/17/2026 09:00 pm GMT+4,2024,CADI,ESCALADE,6.2L  8,8,1GYS3NKL6RR381358,CERTIFICATE OF TITLE,"26,926 A",ACTUAL,HAIL,0 USD,0 USD,0,TX - CORPUS CHRISTI,0,N/A,N/A
https://www.copart.com/lot/95765905/salvage-2017-jeep-grand-cherokee-limited-tx-corpus-christi,95765905,"14,262 USD",03/17/2026 09:00 pm GMT+4,2017,JEP,GRAND CHEROKEE,3.6L  6,6,1C4RJEBG2HC915969,SALVAGE VEHICLE TITLE,"81,096 A",ACTUAL,FRONT END,0 USD,0 USD,0,TX - CORPUS CHRISTI,0,N/A,N/A
https://www.copart.com/lot/94363955/clean-title-2024-volkswagen-jetta-se-tx-corpus-christi,94363955,"19,150 USD",03/17/2026 09:00 pm GMT+4,2024,VOLK,JETTA,1.5L  4,4,3VW7M7BUXRM059379,CERTIFICATE OF TITLE,"12,054 A",ACTUAL,FRONT END,50 USD,0 USD,0,TX - CORPUS CHRISTI,0,N/A,N/A
https://www.copart.com/lot/92914565/clean-title-2020-mitsubishi-eclipse-cross-es-tx-corpus-christi,92914565,"7,098 USD",03/17/2026 09:00 pm GMT+4,2020,MITS,ECLIPSE CROSS,1.5L  4,4,JA4AS3AA1LZ023773,CERTIFICATE OF TITLE,"140,767 A",ACTUAL,HAIL,0 USD,0 USD,0,TX - CORPUS CHRISTI,0,N/A,N/A
https://www.copart.com/lot/92380495/clean-title-2018-volkswagen-tiguan-s-tx-corpus-christi,92380495,"7,236 USD",03/17/2026 09:00 pm GMT+4,2018,VOLK,TIGUAN,2.0L  4,4,3VV0B7AX2JM019695,CERTIFICATE OF TITLE,"119,491 A",ACTUAL,HAIL,0 USD,0 USD,0,TX - CORPUS CHRISTI,0,N/A,N/A
https://www.copart.com/lot/91220485/salvage-2021-volkswagen-passat-s-tx-corpus-christi,91220485,"12,364 USD",03/17/2026 09:00 pm GMT+4,2021,VOLK,PASSAT,2.0L  4,4,1VWAA7A39MC018677,SALVAGE VEHICLE TITLE,"80,299 A",ACTUAL,FRONT END,50 USD,0 USD,0,TX - CORPUS CHRISTI,0,N/A,N/A
