Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99833225/salvage-2022-toyota-corolla-le-tx-dallas,99833225,"16,006 USD",03/16/2026 09:00 pm GMT+4,2022,TOYT,COROLLA,1.8L  4,4,JTDEPMAE7N3008511,SALVAGE VEHICLE TITLE,"69,762 A",ACTUAL,FRONT END,175 USD,0 USD,0,TX - DALLAS,0,N/A,N/A
https://www.copart.com/lot/99082455/clean-title-2020-ford-f150-supercrew-tx-dallas,99082455,"32,075 USD",03/16/2026 09:00 pm GMT+4,2020,FORD,F150,5.0L  8,8,1FTEW1E58LFA86237,CERTIFICATE OF TITLE,"265,162 A",ACTUAL,FRONT END,0 USD,0 USD,0,TX - DALLAS,0,N/A,N/A
https://www.copart.com/lot/99074265/salvage-2012-lexus-es-350-tx-dallas,99074265,"11,733 USD",03/16/2026 09:00 pm GMT+4,2012,LEXS,ES,3.5L  6,6,JTHBK1EG0C2511486,SALVAGE VEHICLE TITLE,"125,950 A",ACTUAL,FRONT END,0 USD,0 USD,0,TX - DALLAS,0,N/A,N/A
https://www.copart.com/lot/98018395/clean-title-2020-hyundai-kona-se-tx-dallas,98018395,$1 USD,03/16/2026 09:00 pm GMT+4,2020,HYUN,KONA,2.0L  4,4,KM8K12AA0LU583879,CERTIFICATE OF TITLE,"159,365 A",ACTUAL,FRONT END,0 USD,0 USD,0,TX - DALLAS,0,N/A,N/A
https://www.copart.com/lot/97880135/clean-title-2019-nissan-pathfinder-s-tx-dallas,97880135,$1 USD,03/16/2026 09:00 pm GMT+4,2019,NISS,PATHFINDER,3.5L  6,6,5N1DR2MN3KC618970,CERTIFICATE OF TITLE,"171,852 A",ACTUAL,FRONT END,0 USD,0 USD,0,TX - DALLAS,0,N/A,N/A
https://www.copart.com/lot/97758555/clean-title-2019-toyota-tundra-tx-dallas,97758555,"17,100 USD",03/16/2026 09:00 pm GMT+4,2019,TOYT,TUNDRA,4.6L  8,8,5TFRM5F10KX144229,CERTIFICATE OF TITLE,"213,885 A",ACTUAL,NORMAL WEAR,0 USD,0 USD,0,TX - DALLAS,0,N/A,N/A
https://www.copart.com/lot/97321355/salvage-2020-dodge-challenger-sxt-tx-dallas,97321355,$1 USD,03/16/2026 09:00 pm GMT+4,2020,DODG,CHALLENGER,3.6L  6,6,2C3CDZAG3LH201946,SALVAGE VEHICLE TITLE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,TX - DALLAS,0,N/A,N/A
https://www.copart.com/lot/97234595/clean-title-2013-blue-bird-school-bus-transit-bus-tx-dallas,97234595,"64,889 USD",03/16/2026 09:00 pm GMT+4,2013,BLUB,SCHOOL BUS / TRANSIT BUS,6.7L  6,6,1BAKCCPA6DF294811,CERTIFICATE OF TITLE,"163,507 N",NOT ACTUAL,NORMAL WEAR,225 USD,0 USD,0,TX - DALLAS,0,N/A,N/A
https://www.copart.com/lot/97234425/clean-title-2012-blue-bird-school-bus-transit-bus-tx-dallas,97234425,"64,879 USD",03/16/2026 09:00 pm GMT+4,2012,BLUB,SCHOOL BUS / TRANSIT BUS,6.7L  6,6,1BAKGCPA7CF287983,CERTIFICATE OF TITLE,"168,786 N",NOT ACTUAL,NORMAL WEAR,0 USD,0 USD,0,TX - DALLAS,0,N/A,N/A
https://www.copart.com/lot/96946095/clean-title-2017-ford-mustang-tx-dallas,96946095,$1 USD,03/16/2026 09:00 pm GMT+4,2017,FORD,MUSTANG,2.3L  4,4,1FATP8UH1H5278790,CERTIFICATE OF TITLE,"210,735 A",ACTUAL,FRONT END,0 USD,0 USD,0,TX - DALLAS,0,N/A,N/A
