Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99789655/clean-title-2024-volkswagen-taos-se-tx-houston-east,99789655,$1 USD,03/16/2026 09:00 pm GMT+4,2024,VOLK,TAOS,1.5L  4,4,3VVEX7B2XRM060419,CERTIFICATE OF TITLE,"82,308 A",ACTUAL,FRONT END,0 USD,0 USD,0,TX - HOUSTON EAST,0,N/A,N/A
https://www.copart.com/lot/99620665/2015-mini-cooper-tx-houston-east,99620665,"8,954 USD",03/16/2026 09:00 pm GMT+4,2015,MIN,COOPER,1.5L  3,3,WMWXM5C52F3A58254,NONREPAIRABLE TITLE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,TX - HOUSTON EAST,0,N/A,N/A
https://www.copart.com/lot/98910095/salvage-2021-chevrolet-blazer-2lt-tx-houston-east,98910095,"16,398 USD",03/16/2026 09:00 pm GMT+4,2021,CHEV,BLAZER,3.6L  6,6,3GNKBCRS2MS538245,SALVAGE VEHICLE TITLE,"71,068 A",ACTUAL,SIDE,0 USD,0 USD,0,TX - HOUSTON EAST,0,N/A,N/A
https://www.copart.com/lot/98488765/salvage-2013-chevrolet-silverado-c1500-tx-houston-east,98488765,"7,892 USD",03/16/2026 09:00 pm GMT+4,2013,CHEV,SILVERADO,4.8L  8,8,1GCNCPEAXDZ373149,SALVAGE VEHICLE TITLE,"171,415 A",ACTUAL,FRONT END,0 USD,0 USD,0,TX - HOUSTON EAST,0,N/A,N/A
https://www.copart.com/lot/97968465/2025-honda-civic-sport-tx-houston-east,97968465,"27,764 USD",03/16/2026 09:00 pm GMT+4,2025,HOND,CIVIC,2.0L  4,4,2HGFE2F54SH579424,NONREPAIRABLE TITLE,"15,837 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,TX - HOUSTON EAST,0,N/A,N/A
https://www.copart.com/lot/97678215/salvage-2019-toyota-camry-hybrid-tx-houston-east,97678215,"13,549 USD",03/16/2026 09:00 pm GMT+4,2019,TOYT,CAMRY,2.5L  4,4,4T1B21HK8KU011981,SALVAGE VEHICLE TITLE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,TX - HOUSTON EAST,0,N/A,N/A
https://www.copart.com/lot/94908105/clean-title-2017-volkswagen-tiguan-wolfsburg-tx-houston-east,94908105,$1 USD,03/16/2026 09:00 pm GMT+4,2017,VOLK,TIGUAN,2.0L  4,4,WVGRV7AX3HW502826,CERTIFICATE OF TITLE,"166,472 A",ACTUAL,FRONT END,0 USD,0 USD,0,TX - HOUSTON EAST,0,N/A,N/A
https://www.copart.com/lot/90129215/salvage-2021-ram-1500-classic-slt-tx-houston-east,90129215,"26,166 USD",03/16/2026 09:00 pm GMT+4,2021,RAM,1500 CLASSIC,3.6L  6,6,1C6RR6LGXMS530129,CERT OF TITLE-SALVAGE,"99,746 A",ACTUAL,FRONT END,0 USD,0 USD,0,TX - HOUSTON EAST,0,N/A,N/A
https://www.copart.com/lot/89934245/clean-title-2015-mercedes-benz-s-s600-tx-houston-east,89934245,"34,875 USD",03/16/2026 09:00 pm GMT+4,2015,MERZ,S,6.0L 12,12,WDDUG7GB9FA138237,CERTIFICATE OF TITLE,0 N,NOT ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,TX - HOUSTON EAST,0,N/A,N/A
https://www.copart.com/lot/87681695/salvage-2016-infiniti-qx50-tx-houston-east,87681695,"13,331 USD",03/16/2026 09:00 pm GMT+4,2016,INFI,QX50,3.7L  6,6,JN1BJ0RR1GM263921,SALVAGE CERTIFICATE OF TITLE,"83,274 A",ACTUAL,FRONT END,0 USD,0 USD,0,TX - HOUSTON EAST,0,N/A,N/A
