Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99857645/salvage-2018-honda-cr-v-exl-tx-houston,99857645,"15,867 USD",03/17/2026 09:00 pm GMT+4,2018,HOND,CR-V,1.5L 4,4,7FARW1H84JE007000,SALVAGE CERTIFICATE,"113,740 A",ACTUAL,FRONT END,0 USD,0 USD,0,TX - HOUSTON,0,N/A,N/A
https://www.copart.com/lot/99808335/clean-title-2023-audi-q7-premium-plus-tx-houston,99808335,"43,927 USD",03/17/2026 09:00 pm GMT+4,2023,AUDI,Q7,3.0L 6,6,WA1LXBF78PD024617,CERTIFICATE OF TITLE,"29,010 A",ACTUAL,FRONT END,0 USD,0 USD,0,TX - HOUSTON,0,N/A,N/A
https://www.copart.com/lot/99617055/clean-title-2022-dodge-challenger-sxt-tx-houston,99617055,"19,357 USD",03/17/2026 09:00 pm GMT+4,2022,DODG,CHALLENGER,3.6L 6,6,2C3CDZAG7NH233561,CERTIFICATE OF TITLE,"60,700 A",ACTUAL,SIDE,0 USD,0 USD,0,TX - HOUSTON,0,N/A,N/A
https://www.copart.com/lot/99445035/clean-title-2024-honda-civic-sport-tx-houston,99445035,"23,059 USD",03/17/2026 09:00 pm GMT+4,2024,HOND,CIVIC,2.0L 4,4,2HGFE2F59RH537812,CERTIFICATE OF TITLE,"25,513 A",ACTUAL,FRONT END,0 USD,0 USD,0,TX - HOUSTON,0,N/A,N/A
https://www.copart.com/lot/99437615/clean-title-2022-dodge-challenger-r-tx-houston,99437615,"24,554 USD",03/17/2026 09:00 pm GMT+4,2022,DODG,CHALLENGER,5.7L 8,8,2C3CDZBT4NH185285,CERTIFICATE OF TITLE,"56,266 A",ACTUAL,SIDE,0 USD,0 USD,0,TX - HOUSTON,0,N/A,N/A
https://www.copart.com/lot/99277555/clean-title-2025-nissan-kicks-sr-tx-houston,99277555,"24,988 USD",03/17/2026 09:00 pm GMT+4,2025,NISS,KICKS,2.0L 4,4,3N8AP6DC6SL376672,CERTIFICATE OF TITLE,"5,317 A",ACTUAL,FRONT END,0 USD,0 USD,0,TX - HOUSTON,0,N/A,N/A
https://www.copart.com/lot/99039215/clean-title-2016-toyota-tacoma-trd-sport-tx-houston,99039215,"20,226 USD",03/17/2026 09:00 pm GMT+4,2016,TOYT,TACOMA,3.5L 6,6,5TFAZ5CN4GX016640,CERTIFICATE OF TITLE,"126,560 A",ACTUAL,FRONT END,0 USD,0 USD,0,TX - HOUSTON,0,N/A,N/A
https://www.copart.com/lot/99011875/salvage-2022-bmw-i4-m50-tx-houston,99011875,"39,416 USD",03/17/2026 09:00 pm GMT+4,2022,BMW,I4,0,0,WBY33AW0XNFM84490,SALVAGE VEHICLE TITLE,"39,174 A",ACTUAL,FRONT END,0 USD,0 USD,0,TX - HOUSTON,0,N/A,N/A
https://www.copart.com/lot/98443015/clean-title-2022-lexus-es-350-base-tx-houston,98443015,"31,374 USD",03/17/2026 09:00 pm GMT+4,2022,LEXS,ES 350,3.5L 6,6,58ADZ1B10NU113020,CERTIFICATE OF TITLE,"54,065 A",ACTUAL,SIDE,0 USD,0 USD,0,TX - HOUSTON,0,N/A,N/A
https://www.copart.com/lot/98316035/clean-title-2023-kia-telluride-ex-x-line-tx-houston,98316035,"30,943 USD",03/17/2026 09:00 pm GMT+4,2023,KIA,TELLURIDE,3.8L 6,6,5XYP3DGC8PG403175,CERTIFICATE OF TITLE,"49,113 A",ACTUAL,SIDE,0 USD,0 USD,0,TX - HOUSTON,0,N/A,N/A
https://www.copart.com/lot/98032135/clean-title-2018-mercedes-benz-cla-250-tx-houston,98032135,"16,338 USD",03/17/2026 09:00 pm GMT+4,2018,MERZ,CLA,2.0L 4,4,WDDSJ4EBXJN510969,CERTIFICATE OF TITLE,"51,637 A",ACTUAL,SIDE,0 USD,0 USD,0,TX - HOUSTON,0,N/A,N/A
https://www.copart.com/lot/97100165/clean-title-2022-infiniti-qx80-luxe-tx-houston,97100165,"33,780 USD",03/17/2026 09:00 pm GMT+4,2022,INFI,QX80,5.6L 8,8,JN8AZ2AF5N9742751,CERTIFICATE OF TITLE,"49,868 A",ACTUAL,SIDE,0 USD,0 USD,0,TX - HOUSTON,0,N/A,N/A
https://www.copart.com/lot/97040295/clean-title-2025-lexus-rx-350h-premium+-tx-houston,97040295,"61,776 USD",03/17/2026 09:00 pm GMT+4,2025,LEXS,RX 350H,2.5L 4,4,2T2BBMCA3SC102105,CERTIFICATE OF TITLE,"1,903 A",ACTUAL,FRONT END,"5,600 USD",0 USD,0,TX - HOUSTON,0,N/A,N/A
https://www.copart.com/lot/96340345/clean-title-2024-hyundai-palisade-calligraphy-tx-houston,96340345,"37,557 USD",03/17/2026 09:00 pm GMT+4,2024,HYUN,PALISADE,3.8L 6,6,KM8R74GE3RU682515,CERTIFICATE OF TITLE,"27,194 A",ACTUAL,FRONT END,0 USD,0 USD,0,TX - HOUSTON,0,N/A,N/A
https://www.copart.com/lot/96304025/clean-title-2023-jeep-gladiator-mojave-tx-houston,96304025,"32,935 USD",03/17/2026 09:00 pm GMT+4,2023,JEP,GLADIATOR,3.6L 6,6,1C6JJTEG1PL554527,CERTIFICATE OF TITLE,"65,383 A",ACTUAL,FRONT END,0 USD,0 USD,0,TX - HOUSTON,0,N/A,N/A
https://www.copart.com/lot/96095215/clean-title-2018-chevrolet-silverado-c1500-lt-tx-houston,96095215,"15,553 USD",03/17/2026 09:00 pm GMT+4,2018,CHEV,SILVERADO,5.3L 8,8,3GCPCREC8JG241038,CERTIFICATE OF TITLE,"154,966 A",ACTUAL,REAR END,0 USD,0 USD,0,TX - HOUSTON,0,N/A,N/A
https://www.copart.com/lot/95508785/clean-title-2021-chevrolet-silverado-c1500-lt-tx-houston,95508785,"30,400 USD",03/17/2026 09:00 pm GMT+4,2021,CHEV,SILVERADO,5.3L 8,8,3GCPWCED8MG312742,CERTIFICATE OF TITLE,"53,293 A",ACTUAL,FRONT END,0 USD,0 USD,0,TX - HOUSTON,0,N/A,N/A
https://www.copart.com/lot/95463715/clean-title-2024-jeep-wagoneer-l-series-ii-tx-houston,95463715,"56,065 USD",03/17/2026 09:00 pm GMT+4,2024,JEP,WAGONEER,3.0L 6,6,1C4SJSBP5RS109129,CERTIFICATE OF TITLE,"11,824 A",ACTUAL,FRONT END,150 USD,0 USD,0,TX - HOUSTON,0,N/A,N/A
https://www.copart.com/lot/94937665/clean-title-2019-chevrolet-equinox-lt-tx-houston,94937665,"16,369 USD",03/17/2026 09:00 pm GMT+4,2019,CHEV,EQUINOX,2.0L 4,4,2GNAXLEX6K6192498,CERTIFICATE OF TITLE,"70,754 A",ACTUAL,FRONT END,0 USD,0 USD,0,TX - HOUSTON,0,N/A,N/A
https://www.copart.com/lot/94694715/clean-title-2023-lexus-es-350-base-tx-houston,94694715,"34,954 USD",03/17/2026 09:00 pm GMT+4,2023,LEXS,ES 350,3.5L 6,6,58ADZ1B19PU153423,CERTIFICATE OF TITLE,"37,142 A",ACTUAL,REAR END,0 USD,0 USD,0,TX - HOUSTON,0,N/A,N/A
https://www.copart.com/lot/94070665/clean-title-2020-honda-odyssey-ex-tx-houston,94070665,"19,453 USD",03/17/2026 09:00 pm GMT+4,2020,HOND,ODYSSEY,3.5L 6,6,5FNRL6H54LB038953,CERTIFICATE OF TITLE,"97,531 A",ACTUAL,SIDE,0 USD,0 USD,0,TX - HOUSTON,0,N/A,N/A
https://www.copart.com/lot/93883595/2023-toyota-tacoma-access-cab-tx-houston,93883595,"30,704 USD",03/17/2026 09:00 pm GMT+4,2023,TOYT,TACOMA,3.5L  6,6,3TYRZ5CN9PT027274,NONREPAIRABLE TITLE,"38,020 A",ACTUAL,ROLLOVER,0 USD,0 USD,0,TX - HOUSTON,0,N/A,N/A
https://www.copart.com/lot/93384185/clean-title-2024-mazda-cx-50-preferred-tx-houston,93384185,"21,470 USD",03/17/2026 09:00 pm GMT+4,2024,MAZD,CX-50,2.5L 4,4,7MMVABBM4RN157125,CERTIFICATE OF TITLE,"42,560 A",ACTUAL,REAR END,150 USD,0 USD,0,TX - HOUSTON,0,N/A,N/A
https://www.copart.com/lot/91242825/clean-title-2018-ford-expedition-platinum-tx-houston,91242825,"26,028 USD",03/17/2026 09:00 pm GMT+4,2018,FORD,EXPEDITION,3.5L 6,6,1FMJU1LT1JEA49146,CERTIFICATE OF TITLE,"80,012 A",ACTUAL,FRONT END,0 USD,0 USD,0,TX - HOUSTON,0,N/A,N/A
https://www.copart.com/lot/88774965/salvage-2014-jaguar-xjl-portfolio-tx-houston,88774965,"28,351 USD",03/17/2026 09:00 pm GMT+4,2014,JAGU,XJL,3.0L  6,6,SAJWA2GZ2E8V64993,SALVAGE VEHICLE TITLE,"78,689 N",NOT ACTUAL,STRIPPED,175 USD,0 USD,0,TX - HOUSTON,0,N/A,N/A
https://www.copart.com/lot/77230245/salvage-2014-acura-mdx-technology-tx-houston,77230245,"8,667 USD",03/17/2026 09:00 pm GMT+4,2014,ACUR,MDX,3.5L  6,6,5FRYD3H46EB018039,SALVAGE VEHICLE TITLE,"146,485 A",ACTUAL,FRONT END,425 USD,0 USD,0,TX - HOUSTON,0,N/A,N/A
https://www.copart.com/lot/74925235/salvage-2026-toyota-corolla-se-tx-houston,74925235,"27,146 USD",03/17/2026 09:00 pm GMT+4,2026,TOYT,COROLLA,2.0L 4,4,5YFS4MCE9TP256305,SALVAGE VEHICLE TITLE,"4,776 A",ACTUAL,FRONT END,0 USD,0 USD,0,TX - HOUSTON,0,N/A,N/A
https://www.copart.com/lot/74913205/salvage-2020-western-starauto-car-conventional-4900fa-tx-houston,74913205,"60,000 USD",03/17/2026 09:00 pm GMT+4,2020,WSTR,CONVENTIONAL,14.8L  6,6,5KJJAEDR2LPLH5048,SALVAGE VEHICLE TITLE,"597,469 A",ACTUAL,FRONT END,0 USD,0 USD,0,TX - HOUSTON,0,N/A,N/A
https://www.copart.com/lot/74773835/salvage-2005-chevrolet-silverado-c2500-heavy-duty-tx-houston,74773835,"15,906 USD",03/17/2026 09:00 pm GMT+4,2005,CHEV,SILVERADO,6.0L  8,8,1GCHC23U85F969800,SALVAGE VEHICLE TITLE,"37,739 E",EXEMPT,SIDE,"2,550 USD",0 USD,0,TX - HOUSTON,0,N/A,N/A
https://www.copart.com/lot/73826195/clean-title-2020-ford-explorer-xlt-tx-houston,73826195,"21,857 USD",03/17/2026 09:00 pm GMT+4,2020,FORD,EXPLORER,2.3L 4,4,1FMSK7DH6LGD15565,CERTIFICATE OF TITLE,"52,976 A",ACTUAL,VANDALISM,0 USD,0 USD,0,TX - HOUSTON,0,N/A,N/A
https://www.copart.com/lot/73612885/clean-title-2024-chevrolet-silverado-k1500-lt-trail-boss-tx-houston,73612885,"49,899 USD",03/17/2026 09:00 pm GMT+4,2024,CHEV,SILVERADO,6.2L 8,8,3GCUDFEL2RG107331,CERTIFICATE OF TITLE,"36,727 A",ACTUAL,FRONT END,"5,000 USD",0 USD,0,TX - HOUSTON,0,N/A,N/A
https://www.copart.com/lot/73457485/clean-title-2012-mercedes-benz-cls-550-tx-houston,73457485,"9,100 USD",03/17/2026 09:00 pm GMT+4,2012,MERZ,CLS,4.6L  8,8,WDDLJ7DB8CA056304,CERT OF TITLE-REBUILT SALVAGE,"141,408 A",ACTUAL,MINOR DENT/SCRATCHES,0 USD,0 USD,0,TX - HOUSTON,0,N/A,N/A
https://www.copart.com/lot/73302635/salvage-2024-mazda-cx-5-preferred-tx-houston,73302635,"25,269 USD",03/17/2026 09:00 pm GMT+4,2024,MAZD,CX-5,2.5L 4,4,JM3KFBCL7R0466599,SALVAGE CERTIFICATE OF TITLE,"16,876 A",ACTUAL,FRONT END,0 USD,0 USD,0,TX - HOUSTON,0,N/A,N/A
https://www.copart.com/lot/72650225/salvage-2015-forest-river-wildwood-312qbud-tx-houston,72650225,"15,136 USD",03/17/2026 09:00 pm GMT+4,2015,FORE,WILDWOOD 312QBUD,,,4X4TWBG25FU006998,SALVAGE TITLE-FLOOD DAMAGE,0 N,NOT ACTUAL,WATER/FLOOD,"1,400 USD",0 USD,0,TX - HOUSTON,0,N/A,N/A
https://www.copart.com/lot/72566705/2024-jeep-grand-cherokee-laredo-tx-houston,72566705,"26,160 USD",03/17/2026 09:00 pm GMT+4,2024,JEP,GRAND CHEROKEE,3.6L  6,6,1C4RJGAG5RC248359,NONREPAIRABLE TITLE,"34,934 A",ACTUAL,ROLLOVER,0 USD,0 USD,0,TX - HOUSTON,0,N/A,N/A
https://www.copart.com/lot/72546145/clean-title-2023-gmc-sierra-k1500-slt-tx-houston,72546145,"48,648 USD",03/17/2026 09:00 pm GMT+4,2023,GMC,SIERRA,6.2L 8,8,1GTUUDEL0PZ124565,CERTIFICATE OF TITLE,"34,111 A",ACTUAL,FRONT END,0 USD,0 USD,0,TX - HOUSTON,0,N/A,N/A
https://www.copart.com/lot/72435455/clean-title-2016-nissan-370z-sport-tx-houston,72435455,"19,496 USD",03/17/2026 09:00 pm GMT+4,2016,NISS,370Z,3.7L 6,6,JN1AZ4EH0GM935802,CERTIFICATE OF TITLE,"73,850 A",ACTUAL,FRONT END,"2,150 USD",0 USD,0,TX - HOUSTON,0,N/A,N/A
https://www.copart.com/lot/72352685/clean-title-2016-subaru-outback-2-5i-premium-tx-houston,72352685,"8,900 USD",03/17/2026 09:00 pm GMT+4,2016,SUBA,OUTBACK,2.5L  4,4,4S4BSBHC4G3237902,CERTIFICATE OF TITLE,"163,289 A",ACTUAL,NORMAL WEAR,0 USD,0 USD,0,TX - HOUSTON,0,N/A,N/A
https://www.copart.com/lot/68015965/salvage-2018-chevrolet-silverado-k2500-heavy-duty-lt-tx-houston,68015965,"46,294 USD",03/17/2026 09:00 pm GMT+4,2018,CHEV,SILVERADO,6.6L 8,8,1GC1KVEY1JF285042,SALVAGE CERTIFICATE,"44,385 N",NOT ACTUAL,SIDE,"1,800 USD",0 USD,0,TX - HOUSTON,0,N/A,N/A
https://www.copart.com/lot/61465885/salvage-2011-mercedes-benz-sl-550-tx-houston,61465885,"38,137 USD",03/17/2026 09:00 pm GMT+4,2011,MERZ,SL,5.5L  8,8,WDBSK7BA8BF164435,SALVAGE TITLE-FLOOD DAMAGE,"67,462 A",ACTUAL,WATER/FLOOD,"3,350 USD",0 USD,0,TX - HOUSTON,0,N/A,N/A
