Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99553585/salvage-2018-chevrolet-silverado-k1500-lt-tx-lufkin,99553585,"19,072 USD",03/16/2026 09:00 pm GMT+4,2018,CHEV,SILVERADO,5.3L  8,8,3GCUKREC6JG267823,SALVAGE VEHICLE TITLE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,TX - LUFKIN,0,N/A,N/A
https://www.copart.com/lot/99123795/salvage-2016-toyota-tacoma-sr5-v6-tx-lufkin,99123795,"20,533 USD",03/16/2026 09:00 pm GMT+4,2016,TOYT,TACOMA,3.5L  6,6,3TMCZ5AN4GM030832,CERT OF TITLE-SALVAGE,"107,334 A",ACTUAL,UNDERCARRIAGE,0 USD,0 USD,0,TX - LUFKIN,0,N/A,N/A
https://www.copart.com/lot/98955625/salvage-2017-buick-envision-preferred-tx-lufkin,98955625,"7,051 USD",03/16/2026 09:00 pm GMT+4,2017,BUIC,ENVISION,2.5L  4,4,LRBFXASA8HD199559,SALVAGE VEHICLE TITLE,"147,546 A",ACTUAL,UNDERCARRIAGE,0 USD,0 USD,0,TX - LUFKIN,0,N/A,N/A
https://www.copart.com/lot/98878085/clean-title-2003-ford-econoline-e250-van-tx-lufkin,98878085,"55,489 USD",03/16/2026 09:00 pm GMT+4,2003,FORD,ECONOLINE,4.2L  6,6,1FTNE24263HB11902,CERTIFICATE OF TITLE,"335,643 E",EXEMPT,SIDE,0 USD,0 USD,0,TX - LUFKIN,0,N/A,N/A
https://www.copart.com/lot/98397745/salvage-2018-chevrolet-impala-lt-tx-lufkin,98397745,"12,669 USD",03/16/2026 09:00 pm GMT+4,2018,CHEV,IMPALA,3.6L  6,6,2G1105S30J9176491,CERT OF TITLE-SALVAGE,"127,806 A",ACTUAL,FRONT END,0 USD,0 USD,0,TX - LUFKIN,0,N/A,N/A
https://www.copart.com/lot/97937155/salvage-2020-kia-sportage-ex-tx-lufkin,97937155,"17,513 USD",03/16/2026 09:00 pm GMT+4,2020,KIA,SPORTAGE,2.4L  4,4,KNDPN3AC9L7773846,CERT OF TITLE-SALVAGE,"48,630 A",ACTUAL,FRONT END,0 USD,0 USD,0,TX - LUFKIN,0,N/A,N/A
https://www.copart.com/lot/97236875/salvage-2019-jeep-cherokee-trailhawk-tx-lufkin,97236875,"12,333 USD",03/16/2026 09:00 pm GMT+4,2019,JEP,CHEROKEE,3.2L  6,6,1C4PJMBX8KD429976,CERT OF TITLE-SALVAGE,"140,908 A",ACTUAL,REAR END,0 USD,0 USD,0,TX - LUFKIN,0,N/A,N/A
https://www.copart.com/lot/95846425/clean-title-2026-toyota-corolla-le-tx-lufkin,95846425,"25,000 USD",03/16/2026 09:00 pm GMT+4,2026,TOYT,COROLLA,2.0L  4,4,5YFB4MDE4TP365852,CERTIFICATE OF TITLE,"7,731 A",ACTUAL,TOP/ROOF,0 USD,0 USD,0,TX - LUFKIN,0,N/A,N/A
https://www.copart.com/lot/95404385/clean-title-2021-chevrolet-traverse-lt-tx-lufkin,95404385,"16,816 USD",03/16/2026 09:00 pm GMT+4,2021,CHEV,TRAVERSE,3.6L  6,6,1GNERHKW1MJ130114,CERTIFICATE OF TITLE,"156,919 A",ACTUAL,REAR END,0 USD,0 USD,0,TX - LUFKIN,0,N/A,N/A
https://www.copart.com/lot/93657345/salvage-2010-chevrolet-malibu-ltz-tx-lufkin,93657345,"4,936 USD",03/16/2026 09:00 pm GMT+4,2010,CHEV,MALIBU,2.4L  4,4,1G1ZE5EB3A4124816,SALVAGE VEHICLE TITLE,"174,464 E",EXEMPT,FRONT END,0 USD,0 USD,0,TX - LUFKIN,0,N/A,N/A
